pclass,survived,sex,age,sibsp,parch,fare,embarked
2.0,0.0,male,40.0,1.0,0.0,26.0,S
3.0,0.0,male,19.0,0.0,0.0,8.1583,S
1.0,0.0,male,60.0,0.0,0.0,26.55,S
3.0,0.0,male,26.0,2.0,0.0,8.6625,S
3.0,0.0,female,38.0,4.0,2.0,7.775,S
3.0,0.0,female,9.0,4.0,2.0,31.275,S
3.0,0.0,male,20.0,0.0,0.0,7.925,S
1.0,1.0,male,48.0,1.0,0.0,52.0,S
2.0,0.0,male,40.0,0.0,0.0,13.0,S
3.0,0.0,male,10.0,4.0,1.0,29.125,Q
3.0,0.0,male,28.0,0.0,0.0,7.7958,S
3.0,0.0,male,22.0,0.0,0.0,7.5208,S
3.0,0.0,male,27.0,0.0,0.0,8.6625,S
3.0,0.0,female,18.0,0.0,0.0,6.75,Q
3.0,0.0,male,26.0,0.0,0.0,7.775,S
3.0,0.0,female,28.0,0.0,0.0,7.8958,S
3.0,0.0,female,24.0,0.0,0.0,8.85,S
3.0,0.0,male,6.0,1.0,1.0,15.2458,C
3.0,0.0,female,20.0,0.0,0.0,7.8542,S
1.0,1.0,male,42.0,1.0,0.0,52.5542,S
3.0,0.0,male,9.0,5.0,2.0,46.9,S
1.0,0.0,male,23.0,0.0,0.0,93.5,S
1.0,0.0,male,58.0,0.0,2.0,113.275,C
3.0,0.0,female,29.0,0.0,4.0,21.075,S
2.0,0.0,male,23.0,0.0,0.0,13.0,S
3.0,1.0,female,19.0,1.0,1.0,15.7417,C
3.0,0.0,male,17.0,0.0,0.0,8.6625,S
3.0,1.0,female,16.0,0.0,0.0,7.7333,Q
1.0,0.0,female,25.0,1.0,2.0,151.55,S
3.0,0.0,male,19.0,0.0,0.0,8.05,S
1.0,1.0,female,52.0,1.0,0.0,78.2667,C
2.0,1.0,female,30.0,0.0,0.0,13.0,S
3.0,0.0,female,39.0,1.0,5.0,31.275,S
1.0,1.0,female,22.0,1.0,0.0,66.6,S
1.0,1.0,female,14.0,1.0,2.0,120.0,S
1.0,0.0,male,44.0,2.0,0.0,90.0,Q
1.0,1.0,female,40.0,0.0,0.0,153.4625,S
3.0,0.0,male,21.0,0.0,0.0,16.1,S
1.0,1.0,female,26.0,1.0,0.0,136.7792,C
3.0,1.0,female,22.0,0.0,0.0,7.75,S
1.0,1.0,female,19.0,0.0,2.0,26.2833,S
1.0,1.0,female,47.0,1.0,0.0,61.175,S
1.0,1.0,female,36.0,0.0,2.0,71.0,S
1.0,1.0,female,35.0,1.0,0.0,90.0,S
1.0,1.0,female,25.0,1.0,0.0,55.4417,C
1.0,0.0,male,46.0,1.0,0.0,61.175,S
1.0,1.0,female,31.0,0.0,2.0,164.8667,S
1.0,1.0,female,19.0,0.0,0.0,30.0,S
2.0,1.0,female,36.0,1.0,0.0,26.0,S
2.0,0.0,male,31.0,1.0,1.0,26.25,S
