id,split,caff,charger,ch_t,pre,post,grp4,score,fert,water,yield,acc,camp,reg,disc,temp,ad,ord,age,svc,soc,book,target,pred_prob,pred_cls
1,train,94.21,Old,1.37,58.89,58.5,G4,66.07,F2,W1,48.0,1,ENG,Y,20,18,302,667.46,59,4,2,1,0,0.2309,0
2,train,93.07,Old,1.72,58.15,57.53,G3,58.12,F1,W1,39.26,1,BDA,Y,10,12,483,606.01,32,2,1,3,0,0.0146,0
3,train,94.67,New,1.63,59.75,58.51,G1,64.27,F1,W3,36.73,0,BDA,Y,25,16,362,597.82,45,5,4,4,0,0.4128,0
4,test,98.99,Old,1.39,60.23,60.32,G1,60.84,F2,W2,39.08,0,BDA,Y,26,17,632,922.83,33,2,5,2,0,0.1815,0
5,train,95.18,New,1.68,60.91,60.66,G3,66.12,F2,W2,43.62,0,BDA,N,5,28,401,580.68,30,2,5,3,0,0.1474,0
6,test,94.17,Old,2.0,63.07,62.69,G3,61.09,F2,W2,38.57,1,BDA,Y,14,19,819,742.07,59,5,4,5,1,0.5198,1
7,train,92.51,New,1.77,60.63,59.9,G4,73.52,F2,W1,51.64,1,ENG,Y,7,13,311,570.19,62,5,2,1,0,0.0769,0
8,train,95.06,Old,1.99,61.8,61.07,G1,67.32,F1,W1,40.07,1,BDA,Y,29,28,255,580.76,57,4,5,4,0,0.6462,1
9,test,94.47,Old,1.51,61.26,61.07,G1,58.19,F1,W3,34.87,1,BDA,N,28,14,815,933.17,55,2,1,2,0,0.0852,0
10,train,94.05,New,1.39,60.37,60.19,G1,72.61,F1,W1,38.12,0,BDA,N,6,30,343,521.79,36,3,2,1,1,0.3624,0
11,train,92.69,New,1.63,59.07,58.4,G2,70.26,F2,W1,39.66,1,ENG,N,26,10,575,1024.13,65,2,5,4,1,0.5398,1
12,train,93.99,New,1.76,63.15,62.73,G4,67.61,F2,W3,42.89,34,ENG,Y,6,12,855,741.77,45,2,4,1,1,0.2429,0
13,train,95.21,New,1.68,58.83,58.65,G1,60.39,F2,W2,44.22,34,BDA,Y,5,18,939,884.88,58,4,1,2,1,0.5922,1
14,train,94.74,Old,1.61,61.01,59.99,G4,72.05,F2,W3,43.86,0,ENG,Y,2,13,180,460.89,60,4,1,5,0,0.1503,0
15,train,94.45,New,1.5,62.01,61.36,G3,65.57,F2,W2,34.12,0,BDA,Y,9,33,902,879.42,60,5,2,5,1,0.5555,1
16,train,95.54,New,1.36,59.97,59.7,G1,79.5,F2,W2,45.79,0,BDA,Y,15,18,185,481.7,46,2,2,1,0,0.0387,0
17,test,95.13,Old,1.71,58.93,59.15,G4,63.97,F2,W1,40.19,0,ENG,Y,21,27,521,723.06,29,3,3,3,0,0.1643,0
18,train,95.33,New,1.57,62.38,62.23,G4,68.09,F2,W1,47.56,2,ENG,N,29,12,341,774.07,36,2,3,3,1,0.2091,0
19,test,93.37,Old,1.63,61.39,61.03,G3,71.14,F1,W1,45.71,1,BDA,Y,12,18,327,710.2,51,3,5,1,0,0.004,0
20,test,94.2,Old,1.91,58.42,58.14,G4,73.43,F1,W2,37.68,0,ENG,N,20,13,447,809.99,25,2,5,5,0,0.017,0
21,train,93.71,Old,1.86,62.9,62.89,G1,64.48,F2,W2,45.61,0,BDA,Y,19,17,853,1071.59,26,2,5,2,0,0.371,0
22,train,93.86,Old,1.87,59.14,57.95,G3,64.49,F2,W2,47.62,2,BDA,N,18,24,817,859.79,38,5,4,3,0,0.0665,0
23,train,94.38,Old,1.82,56.71,56.26,G2,70.68,F1,W2,39.5,0,ENG,N,19,17,547,777.99,51,1,5,1,0,0.0466,0
24,train,92.69,New,1.5,62.08,62.9,G2,63.98,F2,W3,47.88,0,ENG,Y,11,10,704,691.12,46,4,2,2,0,0.0862,0
25,train,92.3,New,1.52,60.34,60.35,G1,53.5,F2,W2,34.87,1,BDA,Y,11,33,673,835.9,41,2,3,3,0,0.1135,0
26,train,94.67,New,1.69,61.17,60.6,G1,62.93,F1,W3,37.14,0,BDA,N,3,13,645,702.06,23,1,5,1,0,0.2017,0
27,train,94.75,New,1.39,58.26,58.52,G2,69.87,F1,W2,40.95,1,ENG,Y,29,20,239,711.16,33,1,4,4,0,0.368,0
28,test,95.47,Old,1.09,62.16,62.54,G2,69.42,F1,W2,43.15,0,ENG,Y,18,28,264,504.1,41,4,5,3,0,0.0243,0
29,train,94.92,New,1.66,61.33,59.99,G3,81.27,F1,W3,42.3,0,BDA,N,18,33,469,750.79,26,5,2,4,0,0.1377,0
30,train,95.24,New,1.43,61.45,61.26,G3,70.84,F2,W2,51.13,0,BDA,N,22,27,594,1036.45,41,3,5,2,0,0.1389,0
31,train,95.01,Old,1.48,63.2,62.81,G1,60.3,F1,W3,41.31,1,BDA,N,30,33,875,1004.95,49,4,4,2,0,0.1014,0
32,train,95.12,New,1.76,60.94,60.12,G2,63.77,F2,W1,48.8,0,ENG,Y,22,33,770,888.56,45,3,5,2,1,0.4852,0
33,train,96.42,Old,1.74,60.75,60.62,G4,72.52,F1,W2,47.56,0,ENG,Y,14,32,156,378.17,58,4,4,5,1,0.2706,0
34,train,96.14,New,1.55,60.7,59.99,G3,68.2,F1,W3,42.05,34,BDA,N,30,11,597,960.41,60,5,2,3,0,0.4951,0
35,train,94.8,New,1.75,61.03,60.85,G3,68.7,F1,W3,41.6,1,BDA,Y,7,27,912,818.23,52,4,1,1,0,0.1302,0
36,train,94.6,Old,2.16,62.59,62.4,G3,71.84,F1,W3,38.97,0,BDA,Y,30,12,935,912.54,50,5,4,4,0,0.4285,0
37,train,97.76,Old,1.87,63.36,63.17,G2,60.98,F2,W3,45.66,0,ENG,N,25,29,609,945.66,63,4,4,5,1,0.3492,0
38,train,93.36,New,1.49,62.58,62.85,G2,69.86,F2,W3,45.09,0,ENG,Y,15,28,379,799.32,26,3,4,5,0,0.0399,0
39,test,97.96,Old,1.71,59.64,58.79,G1,52.56,F1,W1,38.19,5p,BDA,Y,5,27,342,625.35,31,5,4,4,0,0.0286,0
40,train,93.66,Old,1.45,62.54,62.93,G3,68.61,F1,W1,41.86,1,BDA,N,25,24,604,892.06,50,5,3,5,1,0.4556,0
