id,split,caff,charger,ch_t,pre,post,grp4,score,fert,water,yield,acc,camp,reg,disc,temp,ad,ord,age,svc,soc,book,target,pred_prob,pred_cls
1,train,92.13,New,1.47,59.95,59.21,G3,77.98,F2,W2,47.96,1,BDA,N,19,28,937,1130.15,43,5,5,3,0,0.2899,0
2,train,94.84,New,1.43,61.53,61.69,G1,59.5,F2,W2,48.46,0,BDA,Y,27,11,489,935.21,47,1,3,2,0,0.0969,0
3,train,95.25,New,1.53,61.78,61.83,G4,76.23,F2,W1,48.62,0,ENG,Y,9,19,507,760.04,55,1,1,2,0,0.3658,0
4,test,94.48,Old,1.5,59.82,59.3,G2,64.87,F2,W1,46.27,0,ENG,N,12,28,829,1012.46,35,4,2,3,0,0.1561,0
5,train,94.66,New,1.4,61.49,61.13,G2,61.31,F1,W2,42.72,0,ENG,Y,14,14,222,596.98,26,5,2,3,0,0.0986,0
6,train,92.01,Old,1.85,60.96,60.64,G2,65.26,F2,W1,47.94,1,ENG,N,10,26,869,931.3,36,1,5,5,0,0.2412,0
7,train,92.83,New,1.5,58.76,58.39,G1,61.97,F2,W2,45.14,0,BDA,Y,30,15,701,1037.16,27,1,5,5,1,0.3432,0
8,train,96.24,New,1.57,60.54,59.82,G3,77.15,F2,W2,51.16,34,BDA,N,16,28,470,860.18,41,5,2,5,1,0.6402,1
9,test,95.17,Old,1.66,60.83,61.33,G1,60.05,F2,W2,45.16,1,BDA,N,1,14,217,496.78,26,1,2,1,0,0.0191,0
10,test,93.61,Old,1.95,61.33,60.43,G3,76.53,F2,W2,46.58,0,BDA,Y,11,32,247,516.36,30,2,4,3,0,0.0753,0
11,train,95.03,Old,1.74,58.56,58.11,G2,70.32,F2,W3,44.72,0,ENG,Y,18,13,422,757.07,46,5,4,1,0,0.0698,0
12,train,94.7,Old,1.79,60.84,60.67,G3,68.59,F1,W1,40.58,5p,BDA,N,15,29,702,923.15,38,4,1,1,0,0.0172,0
13,train,95.68,New,1.55,59.5,58.98,G2,63.99,F1,W2,44.8,0,ENG,Y,1,10,273,539.13,23,5,5,4,0,0.1377,0
14,test,91.14,Old,1.97,60.28,59.66,G4,77.21,F1,W2,43.44,1,ENG,Y,28,16,825,1191.99,52,3,5,2,0,0.2048,0
15,train,94.46,Old,1.85,58.37,58.14,G1,59.49,F1,W3,38.1,0,BDA,N,24,30,334,692.8,41,3,2,1,0,0.0454,0
16,train,92.99,New,1.48,62.19,61.39,G1,59.14,F1,W3,39.52,0,BDA,Y,11,10,552,780.86,65,2,2,5,1,0.8949,1
17,train,94.31,Old,1.87,62.48,62.6,G2,66.38,F1,W2,40.59,0,ENG,N,8,22,782,803.11,48,4,1,3,0,0.2702,0
18,test,93.87,Old,1.96,59.13,58.53,G2,70.24,F1,W2,40.08,0,ENG,N,25,24,700,1093.17,53,4,3,1,0,0.2078,0
19,train,96.18,New,1.37,59.74,59.03,G2,60.89,F2,W1,47.03,0,ENG,Y,28,33,255,763.02,56,2,5,5,0,0.6907,1
20,train,97.49,Old,1.61,58.03,57.13,G4,74.81,F2,W1,45.01,0,ENG,Y,2,32,497,659.04,43,5,2,2,0,0.1522,0
21,test,93.18,Old,1.47,59.98,58.98,G4,70.76,F2,W3,44.34,0,ENG,N,27,25,932,1137.2,52,2,1,2,0,0.2212,0
22,train,95.15,Old,1.58,60.51,60.16,G1,61.18,F2,W2,47.04,0,BDA,N,5,28,721,785.19,47,4,2,5,0,0.4374,0
23,train,95.85,New,1.43,59.16,58.81,G3,69.6,F2,W2,48.49,0,BDA,Y,15,24,623,826.82,61,2,2,3,1,0.3328,0
24,train,92.8,Old,1.73,61.51,60.81,G1,58.32,F1,W1,44.59,1,BDA,N,14,33,228,586.9,40,3,1,1,0,0.0089,0
25,test,93.95,Old,1.76,60.09,59.31,G1,58.51,F1,W3,40.52,2,BDA,N,11,26,686,942.5,50,4,4,4,1,0.4884,0
26,test,95.75,Old,1.54,59.19,58.86,G2,65.12,F1,W2,40.9,5p,ENG,N,3,26,631,666.98,39,3,2,1,0,0.0342,0
27,train,94.55,New,1.42,61.45,61.98,G2,69.82,F2,W3,45.69,1,ENG,Y,4,27,872,904.74,33,4,4,4,0,0.3427,0
28,train,96.63,New,1.38,61.84,61.54,G2,66.08,F2,W1,47.31,1,ENG,Y,5,14,882,899.05,40,2,1,5,1,0.3635,0
29,train,93.75,New,1.46,60.87,60.65,G4,74.77,F1,W2,40.95,1,ENG,Y,6,11,533,731.98,58,1,5,2,1,0.3023,0
30,train,94.4,New,1.5,61.29,60.11,G3,74.65,F1,W3,44.11,0,BDA,Y,19,19,300,755.62,58,4,1,4,1,0.6163,1
31,train,94.22,New,1.44,61.02,60.4,G3,70.36,F1,W1,41.23,0,BDA,N,17,22,408,675.31,41,3,2,1,0,0.0425,0
32,test,93.04,Old,1.84,61.58,60.82,G4,70.74,F1,W2,39.31,1,ENG,N,27,13,601,1014.28,22,2,3,3,0,0.0881,0
33,test,93.64,Old,1.8,59.41,58.56,G3,70.11,F2,W2,51.13,0,BDA,N,11,30,865,1010.87,49,3,3,4,1,0.6397,1
34,test,95.1,Old,1.75,61.99,61.02,G3,71.62,F1,W1,41.29,0,BDA,N,29,33,790,1176.46,30,1,3,2,0,0.0866,0
35,test,94.32,Old,1.84,59.15,58.36,G4,69.49,F2,W3,45.96,0,ENG,N,14,34,289,676.56,59,1,3,5,1,0.5529,1
36,test,92.88,Old,1.72,61.75,61.57,G1,55.13,F1,W3,39.75,34,BDA,Y,23,10,220,662.81,26,3,2,2,0,0.0153,0
37,train,94.01,Old,1.76,59.1,58.35,G4,70.68,F2,W3,46.69,0,ENG,Y,18,19,421,872.23,56,4,2,1,0,0.0569,0
38,test,95.08,Old,2.07,61.68,61.32,G3,72.19,F1,W1,42.8,0,BDA,Y,13,21,690,882.5,58,5,2,2,0,0.2545,0
39,train,94.82,New,1.46,61.36,61.08,G4,70.49,F2,W1,44.22,0,ENG,Y,24,23,350,735.65,58,3,4,1,1,0.1842,0
40,train,94.35,New,1.48,60.86,59.77,G2,61.13,F2,W1,46.38,0,ENG,N,22,22,606,991.21,23,5,2,3,0,0.0325,0
41,test,94.51,Old,1.95,57.99,57.29,G1,55.84,F2,W2,50.72,0,BDA,N,12,11,428,714.6,46,2,5,4,1,0.6436,1
42,train,94.78,New,1.41,60.08,59.41,G3,65.94,F1,W1,36.95,0,BDA,Y,12,12,478,730.23,30,5,5,4,0,0.1845,0
43,train,94.46,New,1.43,59.5,58.79,G4,79.67,F2,W3,43.6,0,ENG,N,4,17,355,484.87,44,2,1,3,0,0.1945,0
44,test,94.1,Old,1.62,62.47,61.73,G3,68.72,F1,W3,39.79,1,BDA,N,5,23,488,653.7,56,2,5,2,1,0.3617,0
45,train,97.87,New,1.61,59.83,59.25,G2,70.77,F1,W2,39.35,2,ENG,Y,6,21,444,633.84,44,3,5,4,1,0.2333,0
46,train,93.29,New,1.43,59.98,59.69,G1,55.29,F1,W1,43.51,1,BDA,Y,22,32,645,1061.15,42,4,5,4,0,0.5187,1
47,train,95.14,New,1.49,61.01,60.83,G1,64.93,F1,W3,44.22,2,BDA,Y,27,22,660,965.32,22,3,1,2,0,0.0182,0
48,train,94.74,New,1.41,60.03,59.67,G1,60.23,F2,W2,52.0,0,BDA,Y,16,20,414,718.38,33,5,1,1,0,0.0291,0
49,train,94.61,New,1.54,60.1,60.3,G3,70.23,F1,W1,39.86,2,BDA,N,26,14,807,1127.38,46,5,4,2,0,0.0659,0
50,train,93.84,Old,1.42,61.35,60.8,G3,76.32,F1,W3,38.04,34,BDA,N,28,21,453,762.73,58,2,3,3,0,0.2555,0
51,train,96.18,New,1.41,59.78,58.95,G1,59.32,F1,W1,44.38,0,BDA,Y,30,26,899,1247.24,33,3,4,3,1,0.086,0
52,test,93.55,Old,1.87,60.61,59.86,G2,68.17,F2,W3,47.3,0,ENG,N,9,14,857,948.54,40,1,3,1,0,0.0684,0
53,train,93.65,New,1.42,60.79,60.39,G2,62.66,F2,W3,49.14,0,ENG,Y,1,13,393,517.92,53,4,4,5,0,0.6724,1
54,train,93.61,New,1.51,59.46,59.04,G1,65.23,F1,W1,40.98,2,BDA,N,6,20,519,805.79,22,5,5,5,1,0.1165,0
55,test,94.7,Old,1.46,61.68,60.93,G2,63.19,F2,W1,46.94,0,ENG,Y,20,26,448,895.66,62,5,1,4,0,0.7425,1
56,train,94.98,New,1.43,62.96,62.73,G4,72.38,F2,W1,44.25,1,ENG,Y,23,28,307,561.44,27,5,2,5,0,0.2282,0
57,test,95.55,Old,1.72,59.3,58.64,G1,62.09,F1,W1,42.46,1,BDA,Y,17,32,871,1110.19,50,3,1,2,0,0.1392,0
58,train,93.34,New,1.61,60.43,60.75,G1,58.84,F1,W3,41.8,34,BDA,Y,27,30,573,900.63,60,1,1,2,1,0.2272,0
59,train,94.27,Old,2.09,60.99,59.98,G4,74.33,F1,W2,46.22,0,ENG,N,11,34,238,623.2,57,2,2,4,0,0.5657,1
60,test,93.07,Old,1.57,60.77,60.24,G2,69.41,F2,W3,47.47,0,ENG,N,25,16,865,1136.56,28,5,1,1,0,0.0232,0
61,train,95.15,New,1.29,58.09,57.9,G4,67.22,F2,W3,45.32,2,ENG,N,10,15,592,800.29,48,4,1,2,0,0.1069,0
62,train,94.28,New,1.5,62.04,61.6,G2,67.32,F2,W3,44.31,0,ENG,N,24,27,230,725.91,62,2,1,3,1,0.6109,1
63,train,94.67,New,1.51,61.22,60.73,G4,72.36,F1,W2,44.97,0,ENG,N,22,15,563,902.12,62,1,4,2,0,0.5438,1
64,test,94.05,Old,2.04,61.49,61.23,G1,60.13,F1,W1,41.44,1,BDA,N,0,13,588,812.67,51,1,4,3,1,0.3873,0
65,test,94.69,Old,1.59,60.79,59.99,G4,67.41,F2,W1,47.34,1,ENG,Y,0,15,852,880.81,41,1,1,3,0,0.1506,0
66,train,95.49,Old,2.15,61.79,61.45,G3,71.93,F2,W2,49.59,0,BDA,N,27,20,231,812.37,65,1,3,1,0,0.1898,0
67,train,95.23,New,1.44,61.08,60.71,G3,70.85,F1,W3,40.61,0,BDA,N,28,32,324,823.59,50,5,3,4,0,0.4095,0
68,test,95.57,Old,1.85,61.0,60.93,G4,73.41,F2,W1,45.62,0,ENG,N,30,20,656,1082.94,53,1,5,4,0,0.5559,1
69,train,94.19,New,1.51,59.12,58.18,G4,72.66,F2,W3,45.57,2,ENG,Y,6,20,474,728.33,59,1,1,3,1,0.4053,0
70,test,93.79,Old,1.53,61.47,61.55,G3,71.29,F1,W3,39.45,1,BDA,Y,30,29,653,1108.28,64,3,1,5,0,0.6503,1
71,train,95.88,New,1.42,59.62,59.1,G4,81.95,F1,W2,44.83,0,ENG,Y,18,28,896,1124.27,53,1,5,3,1,0.4055,0
72,train,92.06,New,1.49,60.07,59.65,G3,74.28,F1,W3,42.92,1,BDA,Y,17,27,491,842.95,24,2,5,1,0,0.0167,0
