Region,Jan,Feb,Mar
Seoul,120,135,110
Seoul,95,108,145
Seoul,200,179,140
Seoul,150,155,170
Seoul,110,98,190
Seoul,130,140,105
Seoul,90,115,150
Seoul,180,182,160
Seoul,140,125,130
Seoul,170,188,120
Busan,90,92,105
Busan,80,100,95
Busan,115,130,125
Busan,145,155,135
Busan,165,148,178
Busan,120,135,110
Busan,99,101,123
Busan,170,185,190
Busan,130,127,150
Busan,142,150,160
Daegu,85,130,150
Daegu,108,115,130
Daegu,160,170,148
Daegu,140,135,190
Daegu,180,182,195
Daegu,95,88,120
Daegu,99,120,140
Daegu,150,155,170
Daegu,130,105,110
Daegu,170,165,185
Incheon,132,140,150
Incheon,115,110,100
Incheon,180,192,155
Incheon,155,140,165
Incheon,160,170,185
Incheon,190,185,195
Incheon,145,132,155
Incheon,105,100,95
Incheon,82,95,88
Incheon,172,180,178
Daejeon,180,165,170
Daejeon,188,190,195
Daejeon,100,110,95
Daejeon,92,85,100
Daejeon,140,145,135
Daejeon,150,155,170
Daejeon,120,105,115
Daejeon,130,135,140
Daejeon,95,98,105
Daejeon,155,160,175
