Date,Region,Product,Channel,Sales
2025-01-05,North,A,Online,120
2025-01-07,South,A,Offline,150
2025-02-10,North,B,Online,200
2023-02-12,North,A,Online,130
2025-03-15,East,A,Offline,100
2025-03-20,South,B,Online,170
2025-04-10,North,A,Offline,140
2023-04-12,North,B,Offline,180
2025-05-15,East,B,Online,210
2025-05-20,South,A,Online,160
2025-06-10,North,A,Online,190
2023-06-15,North,B,Online,220
2025-07-01,West,A,Offline,110
2025-07-05,West,B,Online,130
2025-07-10,South,B,Offline,145
2023-07-12,East,B,Offline,105
2025-07-13,East,A,Online,205
2025-07-14,West,B,Offline,115
2025-07-15,West,A,Online,135
