농업면적,연도,지역,비료사용량,비료잔여량,작물종류,토양유형,농약검출여부,등급
20079.652837150366,2004,대구,407.985515628482,146.29050742672482,보리,점토,2,C
73858.64320418113,2012,울산,221.22969237689523,1967.333637566192,밀,점토,0,B
65718.15086050313,2012,강원,370.96720496835434,2253.522610072794,쌀,점토,0,B
37366.18290168667,2005,광주,274.128236084656,1487.5352651844973,쌀,양토,0,B
81515.1512890877,2007,충남,213.41065498167652,683.3067445097491,쌀,양토,1,B
49081.504120218844,2020,전남,415.4912169102882,154.35637056832536,밀,점토,2,C
64881.988969087055,2016,경기,249.76614343431172,413.2389745853895,쌀,점토,2,B
88300.05088755579,2020,전남,273.4696350407278,101.47118708286487,쌀,양토,2,C
19034.089966067022,2015,서울,244.49370655263132,277.905623437421,쌀,양토,2,C
58470.72045094889,2005,대구,344.04967657423356,18.507001047180065,밀,모래,2,C
78420.74239595159,2013,전북,165.40744443638042,1208.7270878337763,쌀,모래,0,B
34031.13728286822,2018,강원,177.72707645540106,28.391288249996684,쌀,양토,2,C
88724.44118879762,2017,서울,367.1254935216751,728.3562553758758,쌀,점토,2,B
72874.54915754739,2007,서울,209.10247688009298,1364.0324067960655,쌀,모래,0,B
31523.281630414152,2023,부산,201.71338680723667,273.96602866147305,밀,모래,2,C
29601.20150134781,2001,광주,270.0374598354767,29106.165871365374,보리,모래,0,A
26011.80067573787,2007,경기,252.1172070179523,768.2109444519164,밀,점토,2,B
9761.455092982962,2011,울산,419.4051877051175,154016.97236497625,쌀,점토,0,A
65786.23754850475,2003,대전,230.26612270413406,2587.283576536658,밀,양토,0,A
39852.069622010276,2010,광주,420.6802257258123,11.845558469630916,밀,점토,2,C
74676.43491226774,2013,충북,286.10160517481114,880.9052754359257,쌀,양토,2,B
25820.90116021944,2012,전북,429.6874568902916,408.23803785715177,밀,양토,2,C
5897.1131163551745,2017,강원,387.40057978712144,1295.199361466031,쌀,모래,1,B
70988.14569232723,2020,전북,30.259602307191642,263.7016132250569,쌀,양토,0,C
69389.81490548079,2015,대전,169.6195344194659,601.2966439921489,보리,양토,2,B
19819.08739598919,2021,제주,285.8064294071478,13475.165747236626,보리,모래,0,A
85786.4921549361,2022,전북,300.9159431600984,473.9109535030524,밀,모래,2,B
24917.70504976337,2008,인천,408.5532247395079,525.6428428625624,밀,양토,2,B
49286.90452841933,2004,울산,141.51966883342953,8477.556220535405,쌀,양토,0,A
70502.74622222534,2004,제주,217.99310754055134,272.46777221060734,쌀,모래,2,C
90222.90835894279,2008,경기,227.19362038247044,56862.57651242862,보리,모래,0,A
26710.40212174877,2001,서울,159.32369698233975,56.603668753161436,보리,점토,2,C
6078.646923529977,2009,전북,446.2406820105818,16546.36082620622,밀,점토,0,A
82208.2004499461,2023,경기,347.6052669117794,158617.53802759273,보리,모래,0,A
87976.37528439079,2010,제주,344.6120097199597,3866.190584836247,밀,모래,0,A
94264.10160982325,2007,인천,415.7227695716074,5186.634886825312,보리,모래,0,A
78924.69365867741,2008,부산,368.14675106744323,1000.4876683741421,보리,점토,2,B
16971.44894659971,2014,강원,162.66396389603847,576.2335364386156,보리,양토,2,B
49827.913091751645,2023,전남,416.2439097310461,84.30923587577053,보리,양토,2,C
5947.638731332322,2000,대구,202.34553268172948,18158.596873381848,쌀,양토,0,A
54646.78757630207,2009,강원,258.0174878886091,20551.420793565558,쌀,모래,0,A
