사원번호,부서,성과등급,연봉,근속연수,교육참가횟수,만족도
E0001,Marketing,B,73200000,14.0,5,6.0
E0002,IR,A,95100000,3.0,4,9.0
E0003,Manager,B,44700000,5.0,2,8.0
E0004,IR,B,122100000,16.0,3,8.0
E0005,IR,C,66000000,,4,8.0
E0006,HR,B,148600000,4.0,6,
E0007,Manager,C,54100000,2.0,1,8.0
E0008,Manager,B,85200000,18.0,1,6.0
E0009,Manager,B,134400000,19.0,3,2.0
E0010,IR,B,41900000,19.0,2,2.0
E0011,Marketing,C,110900000,17.0,4,8.0
E0012,Manager,C,70500000,14.0,2,1.0
E0013,Finance,A,46100000,19.0,1,6.0
E0014,IR,C,144700000,13.0,2,6.0
E0015,HR,C,149600000,12.0,1,4.0
E0016,Marketing,C,76200000,6.0,2,3.0
E0017,Finance,C,50500000,4.0,3,3.0
E0018,Finance,A,93300000,19.0,5,1.0
E0019,HR,C,63200000,16.0,3,3.0
E0020,Marketing,B,143500000,13.0,3,4.0
E0021,IR,B,129500000,4.0,5,5.0
E0022,Sales,C,41900000,17.0,5,3.0
E0023,Marketing,C,81600000,1.0,4,
E0024,HR,B,125100000,18.0,4,5.0
E0025,Finance,B,88200000,20.0,3,3.0
E0026,IR,A,65900000,17.0,3,6.0
E0027,Marketing,B,145300000,15.0,1,6.0
E0028,Sales,B,148700000,11.0,1,8.0
E0029,Sales,C,121700000,13.0,4,2.0
E0030,Manager,B,91700000,1.0,6,1.0
E0031,Manager,A,142900000,17.0,6,4.0
E0032,HR,B,47700000,6.0,4,
E0033,Marketing,C,81600000,4.0,1,3.0
E0034,Marketing,C,92100000,20.0,1,
E0035,Finance,B,109000000,16.0,6,5.0
E0036,Finance,C,72900000,15.0,2,5.0
E0037,Finance,A,147900000,15.0,2,3.0
E0038,Manager,A,117000000,6.0,1,9.0
E0039,Marketing,B,145300000,,2,4.0
E0040,Marketing,B,139900000,,5,3.0
E0041,Sales,B,76100000,11.0,4,
E0042,Manager,C,81400000,7.0,4,9.0
E0043,IR,A,142800000,9.0,1,4.0
E0044,Manager,A,50700000,16.0,3,3.0
E0045,IR,C,122600000,5.0,6,7.0
E0046,Sales,A,56100000,20.0,1,8.0
E0047,HR,B,49300000,10.0,2,2.0
E0048,Marketing,B,111200000,18.0,6,7.0
E0049,Sales,B,116100000,3.0,3,5.0
E0050,Marketing,A,121100000,13.0,2,
E0051,Finance,B,60800000,11.0,5,3.0
E0052,HR,C,78000000,17.0,2,5.0
E0053,HR,C,91700000,13.0,5,2.0
E0054,Sales,A,139900000,6.0,6,4.0
E0055,HR,C,100100000,17.0,5,6.0
E0056,IR,C,109400000,13.0,6,1.0
E0057,HR,A,149700000,19.0,6,4.0
E0058,Marketing,B,44700000,19.0,6,6.0
E0059,Marketing,B,67900000,10.0,6,9.0
E0060,Marketing,B,128100000,3.0,6,
E0061,Marketing,A,116900000,14.0,2,
E0062,IR,C,93400000,19.0,6,6.0
E0063,Manager,B,57000000,5.0,2,2.0
E0064,Finance,B,90200000,5.0,6,8.0
E0065,Sales,A,106400000,20.0,5,
E0066,Marketing,B,140400000,17.0,6,5.0
E0067,HR,A,51100000,10.0,3,5.0
E0068,Marketing,C,66200000,5.0,6,7.0
E0069,HR,A,106100000,4.0,6,9.0
E0070,Finance,A,139400000,6.0,5,9.0
E0071,Finance,A,77900000,4.0,4,9.0
E0072,Finance,A,68100000,7.0,5,6.0
E0073,HR,C,140900000,7.0,3,
E0074,Marketing,C,101600000,18.0,4,3.0
E0075,Finance,B,113100000,3.0,1,1.0
E0076,IR,C,68200000,1.0,1,7.0
E0077,HR,C,51900000,4.0,3,4.0
E0078,HR,B,74800000,6.0,5,1.0
E0079,Marketing,C,140600000,9.0,2,8.0
E0080,HR,A,72300000,14.0,3,6.0
E0081,HR,A,120700000,12.0,4,6.0
E0082,Finance,B,51300000,20.0,4,2.0
E0083,Marketing,B,94100000,4.0,6,
E0084,Finance,B,146200000,,1,2.0
E0085,Finance,A,69100000,10.0,4,4.0
E0086,Marketing,C,85600000,,3,2.0
E0087,Sales,A,68400000,3.0,4,1.0
E0088,Finance,B,141000000,14.0,3,7.0
E0089,IR,C,55600000,10.0,2,8.0
E0090,IR,C,73500000,16.0,6,6.0
E0091,HR,A,103600000,16.0,1,4.0
E0092,IR,B,112600000,10.0,4,6.0
E0093,HR,A,106500000,13.0,3,3.0
E0094,Sales,C,67300000,6.0,5,8.0
E0095,Marketing,A,46400000,12.0,1,2.0
E0096,Marketing,A,71200000,9.0,2,5.0
E0097,Marketing,B,109000000,13.0,3,1.0
E0098,IR,B,42800000,4.0,6,6.0
E0099,Sales,C,143200000,11.0,6,2.0
E0100,IR,A,74900000,20.0,2,4.0
E0101,IR,A,101100000,18.0,2,6.0
E0102,Sales,A,42000000,,6,8.0
E0103,Sales,C,78700000,4.0,4,8.0
E0104,Sales,C,94500000,,4,
E0105,Sales,B,140800000,1.0,3,4.0
E0106,Marketing,B,61300000,7.0,5,8.0
E0107,Manager,B,65200000,6.0,3,8.0
E0108,Manager,A,133000000,15.0,5,1.0
E0109,Sales,A,44600000,18.0,2,4.0
E0110,Manager,B,118500000,11.0,1,4.0
E0111,Manager,A,109900000,20.0,3,7.0
E0112,Sales,B,108300000,15.0,3,7.0
E0113,Manager,C,114300000,16.0,5,8.0
E0114,IR,B,77400000,7.0,2,5.0
E0115,HR,C,87200000,10.0,2,
E0116,HR,A,59400000,12.0,5,8.0
E0117,Sales,B,98000000,14.0,2,9.0
E0118,Marketing,A,118900000,5.0,6,3.0
E0119,Sales,C,124900000,18.0,4,3.0
E0120,Marketing,C,88400000,5.0,6,4.0
E0121,HR,C,145200000,3.0,1,5.0
E0122,Sales,A,96400000,5.0,3,1.0
E0123,Finance,A,110300000,17.0,1,7.0
E0124,IR,A,129100000,,3,
E0125,Manager,A,145800000,19.0,4,8.0
E0126,Marketing,C,91200000,12.0,2,5.0
E0127,Finance,C,149000000,9.0,6,4.0
E0128,Manager,B,140400000,1.0,5,7.0
E0129,Manager,B,87600000,18.0,6,5.0
E0130,Sales,A,122700000,4.0,4,7.0
E0131,Manager,C,50800000,,1,1.0
E0132,IR,C,86300000,7.0,5,1.0
E0133,Finance,C,106500000,1.0,2,3.0
E0134,Manager,B,88800000,17.0,4,2.0
E0135,Sales,B,58700000,2.0,5,2.0
E0136,IR,C,63200000,11.0,4,
E0137,HR,C,90600000,9.0,4,2.0
E0138,Finance,C,115800000,7.0,2,4.0
E0139,Manager,B,95700000,17.0,3,2.0
E0140,Sales,C,72400000,17.0,5,6.0
E0141,HR,C,49700000,2.0,2,8.0
E0142,HR,A,65200000,6.0,4,
E0143,Marketing,A,42300000,14.0,2,5.0
E0144,IR,B,41800000,6.0,3,4.0
E0145,Manager,C,116800000,2.0,6,3.0
E0146,Sales,C,144800000,1.0,5,5.0
E0147,Marketing,A,78000000,10.0,3,9.0
E0148,IR,B,138100000,5.0,1,8.0
E0149,Marketing,A,127900000,2.0,5,8.0
E0150,Finance,A,145300000,16.0,3,8.0
E0151,IR,A,118700000,2.0,4,8.0
E0152,IR,A,77100000,10.0,5,7.0
E0153,Manager,C,118000000,2.0,5,8.0
E0154,IR,C,52600000,16.0,2,8.0
E0155,Marketing,A,124800000,16.0,4,8.0
E0156,IR,B,117000000,19.0,1,7.0
E0157,Manager,B,93100000,7.0,6,
E0158,Manager,B,127800000,12.0,3,4.0
E0159,Finance,B,74700000,15.0,2,4.0
E0160,Marketing,A,104400000,,3,
E0161,HR,C,65500000,6.0,1,6.0
E0162,HR,B,103100000,10.0,1,4.0
E0163,IR,A,142000000,3.0,5,2.0
E0164,Finance,B,55700000,19.0,1,6.0
E0165,Sales,B,81000000,17.0,3,8.0
E0166,IR,A,71000000,7.0,4,8.0
