지역코드,성별,신용대출,담보대출
4100000000,1,688608,5706058
4100000000,2,611035,2260521
4100000001,1,125392,5946493
4100000001,2,239679,4711962
4100000002,1,623758,5411745
4100000002,2,516330,4528646
4100000003,1,762848,2130894
4100000003,2,231284,4719853
4100000004,1,646789,2186307
4100000004,2,976344,9327205
4100000005,1,853448,9901484
4100000005,2,981542,3275763
4100000006,1,427451,4897954
4100000006,2,853393,2427425
4100000007,1,175317,7367503
4100000007,2,484452,762473
4100000008,1,661448,9833101
4100000008,2,386274,7024893
4100000009,1,237612,2118075
4100000009,2,490838,3139666
4100000010,1,240077,5165706
4100000010,2,856211,5940449
4100000011,1,797371,9357492
4100000011,2,655049,3895011
4100000012,1,397552,6746827
4100000012,2,413790,906831
4100000013,1,455614,2708241
4100000013,2,984643,5456998
4100000014,1,349172,3311890
4100000014,2,937794,9554576
4100000015,1,541072,9987887
4100000015,2,542179,9938998
4100000016,1,537798,2452114
4100000016,2,344272,3709690
4100000017,1,644491,9392293
4100000017,2,310341,8689607
4100000018,1,312808,2022726
4100000018,2,621987,4089790
4100000019,1,471922,3390944
4100000019,2,770408,5064079
4100000020,1,302144,3342807
4100000020,2,220206,2309787
4100000021,1,671960,7058159
4100000021,2,112064,1209685
4100000022,1,317773,782435
4100000022,2,638166,4773551
4100000023,1,768231,8999522
4100000023,2,298377,5395718
4100000024,1,989124,7869619
4100000024,2,988897,9662337
4100000025,1,607147,3386446
4100000025,2,655603,4741370
4100000026,1,953540,9483281
4100000026,2,316299,5188159
4100000027,1,469494,6932477
4100000027,2,831042,1576774
4100000028,1,266164,2756676
4100000028,2,895631,5187103
4100000029,1,379498,8161893
4100000029,2,411664,715827
4100000030,1,284145,6105931
4100000030,2,975183,4924473
4100000031,1,977938,5136555
4100000031,2,316500,3512778
4100000032,1,723749,1717239
4100000032,2,183040,5027587
4100000033,1,665186,6830848
4100000033,2,133511,1479736
4100000034,1,478510,4223278
4100000034,2,690726,5219575
4100000035,1,552961,663190
4100000035,2,781055,3866315
4100000036,1,688798,6520715
4100000036,2,796467,2845508
4100000037,1,189835,4538031
4100000037,2,468617,3720787
4100000038,1,931268,9783745
4100000038,2,130309,6342577
4100000039,1,213338,2319841
4100000039,2,852534,828963
4100000040,1,669819,8343591
4100000040,2,453704,9937636
4100000041,1,578557,587955
4100000041,2,211825,2339960
4100000042,1,924537,7214501
4100000042,2,289270,846297
4100000043,1,929230,9250818
4100000043,2,586196,5696229
4100000044,1,685726,7213619
4100000044,2,554596,8448362
4100000045,1,413676,9200281
4100000045,2,626810,4430782
