CustomerID,MonthlyCharges,CustomerTenure,HasPhoneService,HasTechInsurance,Churn
1,77.45071229516849,47,1,1,1
2,67.92603548243223,68,1,1,0
3,79.71532807151038,45,0,1,1
4,92.84544784612038,2,1,0,1
5,66.48769937914996,27,1,1,0
6,66.4879456457623,36,1,1,0
7,93.68819223261087,36,1,1,1
8,81.51152093729362,26,1,1,0
9,62.95788421097572,43,0,1,1
10,78.13840065378947,27,1,0,0
11,63.04873460781307,69,1,0,1
12,63.01405369644615,20,1,0,0
13,73.62943407349051,11,1,0,1
14,41.30079633013303,38,0,1,0
15,44.12623251230451,6,0,1,0
16,61.56568706138541,72,0,0,1
17,54.80753319498364,23,0,0,1
18,74.71370998892911,47,1,1,1
19,56.37963886718184,46,1,0,1
20,48.81544447997062,12,1,0,0
21,91.98473153382331,13,0,0,1
22,66.61335549270197,62,1,0,1
23,71.01292307031886,60,0,0,0
24,48.62877720679815,43,0,0,0
25,61.834259132122256,68,1,0,0
26,71.66383884564799,5,1,1,0
27,52.73509633866546,37,0,0,1
28,75.63547027518509,72,0,1,0
29,60.99041965121793,31,0,0,0
30,65.62459375310085,9,0,0,1
31,60.97440081655905,51,1,1,1
32,97.78417276763406,29,0,0,1
33,69.79754162893099,40,1,0,0
34,54.13433606566149,41,0,0,0
35,82.33817368154783,11,0,1,1
36,51.68734525043467,23,0,0,0
37,73.13295392507133,1,0,0,0
38,40.60494814180336,46,0,1,1
39,50.07720926652354,21,0,0,1
40,72.95291853803685,36,1,1,1
41,81.07699869993115,54,0,1,0
42,72.57052421784955,57,1,1,1
43,68.2652757641764,1,0,0,0
44,65.48344456616067,63,1,1,1
45,47.82217014448859,54,1,0,1
46,59.20233687407937,55,1,0,1
47,63.09041843560319,40,1,0,1
48,85.85683339328374,15,1,1,0
49,75.15427434352692,21,1,0,0
50,43.554397669558995,47,1,0,0
51,74.86125954092192,53,1,0,1
52,64.22376579375525,9,0,1,0
53,59.84616999541062,52,0,1,0
54,79.17514433261302,57,1,1,1
55,85.46499283743927,26,1,0,0
56,83.96920178674299,41,1,0,0
57,57.41173715166042,35,1,1,1
58,65.36181436223178,63,1,0,1
59,74.96895147105346,25,0,0,1
60,84.63317690683539,38,0,1,1
61,62.81238643232065,2,0,1,0
62,67.21511535004274,7,0,1,0
63,53.40497538990958,34,1,1,0
64,52.05690063878994,17,0,1,0
65,82.18788733591298,43,1,0,1
66,90.34360042856234,59,0,0,1
67,68.91984817629499,51,1,1,1
68,85.05299346838036,54,1,0,1
69,75.42454037571451,24,0,1,0
70,60.323203680923136,25,1,0,0
71,75.4209340826262,71,0,0,1
72,93.07054849698955,52,0,1,1
73,69.46260941335073,70,0,1,1
74,93.4696548372101,33,0,1,1
75,30.703823438653835,49,0,0,0
76,82.32853756562835,29,1,1,0
77,71.30570602357257,63,1,0,1
78,65.51488974301199,22,1,0,0
79,71.37641164803253,26,0,0,1
80,40.18646628098661,28,1,0,0
