word,index
tom,1
i,2
to,3
you,4
is,5
the,6
a,7
that,8
in,9
do,10
was,11
this,12
im,13
dont,14
of,15
me,16
have,17
my,18
be,19
are,20
it,21
he,22
think,23
your,24
like,25
his,26
for,27
french,28
want,29
we,30
mary,31
there,32
know,33
not,34
how,35
what,36
can,37
and,38
very,39
with,40
its,41
at,42
has,43
didnt,44
been,45
as,46
go,47
going,48
on,49
here,50
did,51
really,52
why,53
she,54
were,55
cant,56
all,57
time,58
tell,59
they,60
isnt,61
ever,62
thats,63
if,64
help,65
too,66
would,67
no,68
please,69
had,70
something,71
doesnt,72
still,73
so,74
when,75
sorry,76
one,77
will,78
toms,79
more,80
from,81
youre,82
said,83
about,84
us,85
well,86
keep,87
where,88
but,89
come,90
hard,91
than,92
who,93
work,94
school,95
now,96
never,97
used,98
ive,99
three,100
get,101
good,102
need,103
old,104
just,105
should,106
some,107
take,108
up,109
lonely,110
people,111
learn,112
stop,113
by,114
doing,115
out,116
any,117
everyone,118
him,119
cat,120
could,121
much,122
thought,123
home,124
an,125
boston,126
right,127
favorite,128
many,129
speak,130
water,131
person,132
made,133
love,134
only,135
lot,136
wanted,137
australia,138
came,139
knows,140
ill,141
whats,142
day,143
our,144
see,145
look,146
say,147
alone,148
money,149
nobody,150
anything,151
car,152
believe,153
told,154
live,155
science,156
long,157
wants,158
way,159
understand,160
tomorrow,161
feel,162
use,163
does,164
yesterday,165
quite,166
room,167
last,168
shouldve,169
lets,170
left,171
late,172
lie,173
read,174
human,175
study,176
dog,177
everybody,178
book,179
give,180
house,181
again,182
eat,183
knew,184
her,185
teacher,186
looks,187
language,188
today,189
make,190
two,191
yet,192
most,193
world,194
before,195
years,196
try,197
got,198
died,199
stay,200
hes,201
learned,202
true,203
wasnt,204
wish,205
friends,206
into,207
or,208
every,209
down,210
leave,211
back,212
god,213
problem,214
new,215
blood,216
hate,217
asked,218
play,219
often,220
always,221
anymore,222
having,223
other,224
job,225
done,226
let,227
nothing,228
wrong,229
beautiful,230
buy,231
went,232
cold,233
may,234
wont,235
id,236
these,237
age,238
better,239
wearing,240
answer,241
tried,242
trying,243
busy,244
someone,245
cats,246
young,247
year,248
studying,249
meet,250
met,251
man,252
married,253
same,254
week,255
learning,256
class,257
wait,258
anyone,259
felt,260
remember,261
drive,262
fish,263
suicide,264
sleep,265
find,266
dark,267
happened,268
life,269
both,270
books,271
father,272
difficult,273
bed,274
night,275
food,276
hope,277
after,278
sure,279
theres,280
software,281
birthday,282
off,283
them,284
sing,285
talk,286
over,287
red,288
happy,289
easy,290
dream,291
languages,292
moon,293
youll,294
heard,295
working,296
subway,297
medicine,298
english,299
social,300
getting,301
without,302
children,303
says,304
computer,305
whos,306
next,307
hours,308
lost,309
works,310
sit,311
watch,312
yourself,313
took,314
arent,315
everything,316
snow,317
soon,318
seems,319
police,320
enough,321
woman,322
korea,323
question,324
thinks,325
pretty,326
party,327
tonight,328
little,329
marys,330
havent,331
afraid,332
youve,333
swimming,334
open,335
forget,336
start,337
am,338
mind,339
looked,340
around,341
reading,342
singing,343
talking,344
myself,345
might,346
write,347
bought,348
bank,349
borrow,350
saw,351
being,352
dictionary,353
killed,354
later,355
spiders,356
small,357
gave,358
act,359
seen,360
child,361
phone,362
friend,363
thing,364
couldnt,365
wouldnt,366
important,367
students,368
able,369
ridiculous,370
christmas,371
assure,372
times,373
few,374
call,375
lied,376
fun,377
cried,378
ask,379
nice,380
die,381
called,382
inside,383
walk,384
anybody,385
addicted,386
hear,387
loves,388
taught,389
idea,390
addict,391
eating,392
almost,393
boat,394
wonder,395
canadian,396
swim,397
youd,398
daughter,399
sitting,400
apartment,401
high,402
piano,403
under,404
spend,405
fire,406
won,407
listen,408
away,409
hands,410
smiled,411
laughed,412
care,413
turn,414
wine,415
bad,416
ok,417
quiet,418
cry,419
mine,420
looking,421
great,422
name,423
caught,424
stupid,425
drink,426
horse,427
mistake,428
mother,429
seemed,430
sleepy,431
advice,432
born,433
weve,434
best,435
rest,436
yours,437
expect,438
longer,439
tired,440
fact,441
interested,442
acting,443
word,444
eggs,445
dangerous,446
four,447
those,448
cost,449
brother,450
matter,451
parents,452
six,453
point,454
since,455
probably,456
thanks,457
sad,458
ready,459
hold,460
careful,461
forgive,462
hurt,463
boys,464
serious,465
curious,466
nervous,467
crying,468
kissed,469
move,470
finished,471
flowers,472
change,473
carefully,474
interesting,475
hair,476
safe,477
bus,478
kind,479
manager,480
fast,481
real,482
girl,483
bit,484
win,485
must,486
acted,487
