word,index
톰,1
은,2
이,3
는,4
을,5
에,6
를,7
가,8
그,9
나,10
내,11
사람,12
의,13
했어,14
있어,15
난,16
야,17
네,18
이야,19
너,20
들,21
우리,22
하,23
해,24
로,25
메리,26
것,27
한테,28
생각,29
프랑스어,30
한,31
에서,32
같아,33
말,34
도,35
없어,36
다,37
않아,38
했다,39
하고,40
난톰,41
에게,42
지,43
적,44
으로,45
게,46
와,47
우린,48
모두,49
더,50
너무,51
아,52
정말,53
일,54
안,55
인,56
과,57
고양이,58
이건,59
아무,60
그걸,61
좀,62
공부,63
여기,64
시간,65
걸,66
왜,67
못,68
서,69
이다,70
본적,71
봐,72
집,73
좋아해,74
그녀,75
자기,76
계속,77
뭐,78
저,79
그것,80
보다,81
돼,82
거짓말,83
아직,84
아주,85
날,86
때,87
않았어,88
학교,89
그렇게,90
누구,91
제,92
책,93
법,94
장,95
잘,96
얼마나,97
거,98
이랑,99
알,100
거기,101
많이,102
보스턴,103
한번,104
자,105
아직도,106
사실,107
친구,108
넌,109
그건,110
같이,111
언어,112
고,113
있다,114
뭔가,115
만,116
무슨,117
랑,118
누가,119
좋은,120
할수,121
에가,122
시작,123
몰랐어,124
중,125
미안해,126
그만,127
돈,128
노래,129
당신,130
지금,131
진짜,132
중독,133
어디,134
모든,135
그게,136
할,137
호주,138
웃었어,139
알고있어,140
문제,141
과학,142
나이,143
선생님,144
좋아하는,145
개,146
혼자,147
대해,148
인간,149
자신,150
이나,151
배웠어,152
몇,153
꿈,154
약,155
꽤,156
이상,157
프랑스,158
어떻게,159
수영,160
해야,161
어떤,162
눈,163
남자,164
없었어,165
살,166
에는,167
들어,168
할거야,169
죽었어,170
누군가,171
사랑,172
기,173
마리,174
있는,175
결혼,176
오늘,177
가가,178
일이,179
생일,180
왔어,181
말해,182
입니다,183
얘기,184
좋아,185
이해,186
질문,187
않는다,188
어제,189
위해,190
이네,191
려고,192
처럼,193
보여,194
좋겠어,195
했는데,196
하지,197
운전,198
시,199
자살,200
몰라,201
무엇,202
아니야,203
거미,204
애,205
바로,206
곳,207
명,208
만큼,209
컴퓨터,210
비해,211
방법,212
절대,213
빨리,214
외로워,215
않았다,216
않을거야,217
뿐,218
기분,219
노력,220
물,221
어디서,222
이었어,223
년,224
많은,225
해서,226
가지,227
소프트웨어,228
알았어,229
니야,230
열심히,231
하지마,232
해줘,233
기억,234
요,235
싫어,236
그냥,237
알고있었어,238
없다,239
너희,240
언제,241
같은,242
행동,243
되어있어,244
항상,245
탐은,246
파티,247
필요,248
니,249
가장,250
간,251
이렇게,252
해봐,253
하러,254
대답,255
키,256
집중,257
니까,258
걱정,259
마음,260
샀어,261
거의,262
전부,263
라고,264
지하철,265
큰,266
경찰,267
전,268
적있어,269
오늘밤,270
다른,271
에서가,272
시도,273
이지,274
제발,275
다시,276
이렇게나,277
일해,278
이라도,279
머리,280
이름,281
강아지,282
자동차,283
은행,284
실수,285
아이,286
뭘,287
봤어,288
는걸,289
난이,290
아빠,291
방,292
있었다,293
영어,294
여자,295
세,296
한때,297
도움,298
동물,299
해본,300
이내,301
라는,302
정도,303
갈거야,304
마다,305
건,306
반,307
세상,308
동안,309
조심해,310
마세요,311
걔,312
예요,313
쳐,314
부탁,315
사과,316
입,317
이유,318
내일,319
피,320
좀더,321
신,322
나를,323
되었어,324
해야해,325
어려워,326
침대,327
없었다,328
받았어,329
있을거야,330
학생,331
관심,332
한국,333
널,334
아마,335
차,336
자주,337
인지,338
여,339
대,340
의사,341
그다지,342
있었어,343
있는지,344
아파트,345
모르겠어,346
없는,347
피아노,348
그런,349
훨씬,350
나도,351
새,352
준비,353
저걸,354
비,355
와인,356
존재,357
하고있어,358
운동,359
어,360
거짓말쟁이,361
라,362
꽃,363
늙었어,364
좋아해요,365
갔어,366
보였어,367
감기,368
않다,369
였어,370
이제,371
빌려줄래,372
들었어,373
이일,374
보냈어,375
줬어,376
둘다,377
조언,378
좋아요,379
바이러스,380
고용,381
중이,382
좋아하지,383
한다,384
한적,385
일찍,386
된,387
결정,388
손,389
어는,390
왜톰,391
될거야,392
부터,393
캐나다,394
할줄,395
아침,396
조금,397
야할것,398
할것,399
상황,400
입고있어,401
음식,402
매일,403
않은데,404
선물,405
시험,406
까지,407
할아버지,408
같진,409
크리스마스,410
한다는,411
두,412
면,413
하는것은,414
어려움,415
이겼어,416
고마워,417
합니다,418
떠났어,419
죄송합니다,420
분,421
당장,422
읽어,423
용서,424
커,425
괜찮은,426
그거,427
소리,428
답,429
도안,430
있어요,431
잘해,432
좋아한다,433
될까,434
생선,435
매우,436
싶지,437
의심,438
사전,439
보인다,440
많아,441
최선,442
잘못,443
당,444
몸,445
성,446
과거,447
사회,448
전혀,449
자폐증,450
여행,451
정말로,452
좋겠다,453
가끔,454
구성,455
없이,456
됐어,457
달라,458
저런,459
대부분,460
내딸,461
작은,462
일주일,463
좋았을텐데,464
고등학교,465
함께,466
에여,467
부모님,468
아름다운,469
진정해,470
리가,471
믿어,472
먹어,473
바라,474
냄새,475
아래,476
써,477
바보,478
래,479
하나,480
선,481
내버려,482
불러,483
전해,484
안해,485
잤어,486
썼어,487
가도,488
물고기,489
