word,index
tom,1
to,2
i,3
the,4
a,5
you,6
is,7
in,8
that,9
of,10
and,11
was,12
do,13
it,14
this,15
have,16
are,17
he,18
be,19
my,20
im,21
for,22
me,23
dont,24
his,25
like,26
your,27
think,28
they,29
not,30
we,31
can,32
at,33
there,34
what,35
know,36
want,37
with,38
french,39
on,40
very,41
how,42
mary,43
as,44
were,45
she,46
has,47
its,48
will,49
go,50
when,51
people,52
been,53
going,54
didnt,55
but,56
one,57
all,58
so,59
time,60
by,61
had,62
did,63
if,64
here,65
why,66
really,67
more,68
from,69
about,70
would,71
too,72
than,73
cant,74
said,75
no,76
or,77
who,78
help,79
some,80
them,81
school,82
tell,83
an,84
ever,85
many,86
their,87
work,88
isnt,89
now,90
please,91
just,92
thats,93
still,94
well,95
doesnt,96
used,97
out,98
keep,99
something,100
up,101
us,102
come,103
hard,104
much,105
sorry,106
him,107
good,108
youre,109
get,110
old,111
take,112
never,113
toms,114
day,115
three,116
where,117
learn,118
could,119
need,120
any,121
only,122
should,123
home,124
most,125
world,126
stop,127
new,128
everyone,129
water,130
ive,131
other,132
way,133
speak,134
her,135
doing,136
thought,137
years,138
see,139
look,140
our,141
right,142
lonely,143
made,144
these,145
person,146
make,147
money,148
cat,149
use,150
lot,151
wanted,152
came,153
understand,154
may,155
say,156
long,157
man,158
into,159
ill,160
car,161
give,162
often,163
two,164
boston,165
eat,166
room,167
favorite,168
back,169
knows,170
live,171
over,172
asked,173
find,174
believe,175
house,176
language,177
human,178
love,179
anything,180
feel,181
does,182
told,183
today,184
last,185
australia,186
every,187
left,188
read,189
then,190
alone,191
nobody,192
whats,193
tomorrow,194
life,195
english,196
wants,197
first,198
better,199
before,200
because,201
leave,202
god,203
problem,204
study,205
dog,206
book,207
went,208
after,209
also,210
job,211
down,212
died,213
late,214
again,215
young,216
knew,217
science,218
quite,219
play,220
friends,221
yet,222
learning,223
got,224
lets,225
lie,226
learned,227
yesterday,228
looks,229
same,230
children,231
shouldve,232
stay,233
talk,234
wrong,235
beautiful,236
buy,237
everybody,238
year,239
dream,240
teacher,241
working,242
wasnt,243
without,244
important,245
high,246
try,247
around,248
nothing,249
sleep,250
cold,251
true,252
id,253
small,254
always,255
hope,256
women,257
computer,258
while,259
age,260
little,261
having,262
next,263
off,264
am,265
let,266
blood,267
red,268
someone,269
hes,270
took,271
meet,272
youll,273
wont,274
later,275
books,276
wish,277
father,278
difficult,279
gave,280
food,281
couldnt,282
class,283
wearing,284
parents,285
hours,286
answer,287
done,288
tried,289
anyone,290
bad,291
trying,292
fish,293
hate,294
mother,295
saw,296
soon,297
anymore,298
able,299
watch,300
nice,301
called,302
busy,303
cats,304
happy,305
easy,306
studying,307
met,308
being,309
married,310
both,311
enough,312
says,313
week,314
those,315
thing,316
students,317
boy,318
birthday,319
few,320
words,321
each,322
wait,323
sit,324
felt,325
remember,326
drive,327
great,328
write,329
drink,330
moon,331
heard,332
medicine,333
must,334
seems,335
bed,336
night,337
woman,338
big,339
korea,340
question,341
sitting,342
theres,343
ago,344
times,345
things,346
away,347
lost,348
works,349
turn,350
sing,351
hurt,352
yourself,353
inside,354
suicide,355
name,356
languages,357
dark,358
happened,359
even,360
idea,361
everything,362
longer,363
fact,364
child,365
sure,366
social,367
getting,368
friend,369
sometimes,370
party,371
country,372
put,373
morning,374
park,375
software,376
spend,377
such,378
mr,379
fun,380
forget,381
boys,382
walk,383
looking,384
reading,385
answered,386
change,387
bought,388
arent,389
subway,390
best,391
police,392
act,393
almost,394
taking,395
thinks,396
pretty,397
tonight,398
wouldnt,399
whos,400
havent,401
afraid,402
animals,403
example,404
lived,405
become,406
which,407
through,408
swimming,409
open,410
show,411
start,412
die,413
mind,414
serious,415
talking,416
myself,417
dreams,418
might,419
bank,420
kind,421
girl,422
dictionary,423
snow,424
seen,425
swim,426
marys,427
youve,428
men,429
christmas,430
found,431
means,432
lives,433
days,434
earth,435
however,436
listen,437
call,438
follow,439
cried,440
ask,441
choose,442
looked,443
singing,444
flowers,445
horses,446
hear,447
carefully,448
loves,449
full,450
horse,451
bus,452
worked,453
borrow,454
killed,455
changed,456
spiders,457
shoes,458
born,459
eating,460
interested,461
acting,462
phone,463
past,464
gone,465
baby,466
dangerous,467
early,468
cost,469
youd,470
daughter,471
blue,472
ridiculous,473
body,474
five,475
living,476
assure,477
company,478
chance,479
point,480
since,481
under,482
place,483
different,484
pain,485
thanks,486
sad,487
lied,488
ready,489
course,490
care,491
ok,492
quiet,493
cry,494
plants,495
anybody,496
addicted,497
interesting,498
caught,499
boss,500
safe,501
free,502
real,503
waiting,504
taught,505
addict,506
advice,507
rest,508
mean,509
boat,510
tired,511
others,512
wonder,513
word,514
canadian,515
eggs,516
began,517
allowed,518
dinner,519
four,520
brother,521
until,522
needs,523
apartment,524
watching,525
family,526
doctors,527
six,528
law,529
piano,530
speaker,531
less,532
homework,533
considered,534
summer,535
actually,536
cause,537
probably,538
sister,539
sports,540
john,541
during,542
information,543
tree,544
star,545
using,546
fire,547
won,548
perfect,549
hands,550
smiled,551
laughed,552
careful,553
wine,554
slowly,555
strange,556
mine,557
quickly,558
move,559
finished,560
green,561
stupid,562
hair,563
mistake,564
manager,565
fast,566
eyes,567
music,568
save,569
bit,570
seemed,571
sleepy,572
win,573
weve,574
yours,575
expect,576
coming,577
main,578
worry,579
visit,580
surprised,581
playing,582
weather,583
decided,584
own,585
husband,586
started,587
reason,588
makes,589
breakfast,590
teach,591
likes,592
matter,593
several,594
clean,595
grandfather,596
accident,597
avoid,598
doctor,599
whether,600
minutes,601
speaking,602
studied,603
goes,604
history,605
large,606
usually,607
seoul,608
against,609
thinking,610
saying,611
city,612
office,613
traffic,614
workers,615
percent,616
run,617
birds,618
hold,619
thank,620
carry,621
quick,622
forgive,623
once,624
curious,625
nervous,626
grow,627
crying,628
kissed,629
hot,630
driving,631
smoking,632
questions,633
winter,634
smell,635
depressed,636
black,637
number,638
changes,639
dead,640
poor,641
short,642
stopped,643
light,644
acted,645
either,646
tv,647
white,648
truth,649
already,650
hand,651
son,652
tennis,653
guitar,654
shirt,655
popular,656
group,657
equals,658
catch,659
hat,660
prison,661
waste,662
sold,663
equal,664
door,665
prefer,666
umbrella,667
named,668
humans,669
meat,670
walking,671
television,672
rich,673
bigger,674
hospital,675
native,676
another,677
worth,678
whole,679
success,680
lunch,681
wife,682
likely,683
possible,684
floor,685
cannot,686
afternoon,687
player,688
teeth,689
vacation,690
except,691
between,692
earlier,693
parts,694
internet,695
especially,696
peoples,697
countries,698
scientists,699
wash,700
welcome,701
grab,702
hurts,703
stand,704
quit,705
trust,706
fly,707
dogs,708
kill,709
check,710
tall,711
warm,712
lying,713
sick,714
faster,715
head,716
honest,717
peace,718
korean,719
voice,720
disappeared,721
bag,722
spider,723
plan,724
laugh,725
outside,726
game,727
unhappy,728
pass,729
health,730
monday,731
kid,732
helps,733
worried,734
wheres,735
guess,736
normal,737
relaxing,738
single,739
case,740
weird,741
washing,742
addictive,743
song,744
africa,745
lose,746
helping,747
angry,748
maybe,749
choice,750
window,751
hasnt,752
opened,753
color,754
hire,755
somewhere,756
kitchen,757
sat,758
injured,759
weight,760
rain,761
coat,762
spring,763
feelings,764
exactly,765
ideas,766
games,767
delicious,768
speaks,769
running,770
completely,771
c,772
pay,773
future,774
finally,775
diagnosed,776
station,777
singer,778
loved,779
crazy,780
perhaps,781
india,782
acupuncture,783
test,784
glad,785
dress,786
gold,787
depression,788
sooner,789
letters,790
experience,791
simply,792
concentrating,793
mistakes,794
story,795
imagine,796
beings,797
drinks,798
sunday,799
airport,800
month,801
milk,802
alice,803
trouble,804
filled,805
famous,806
became,807
months,808
foreign,809
beach,810
river,811
set,812
soap,813
thousands,814
hearing,815
street,816
sound,817
worlds,818
strong,819
near,820
th,821
craze,822
themselves,823
mike,824
dioxin,825
jump,826
begin,827
oh,828
fair,829
goodbye,830
hit,831
shut,832
cool,833
cute,834
deep,835
luck,836
seriously,837
talked,838
wonderful,839
patient,840
bring,841
along,842
face,843
exists,844
hows,845
chuckled,846
envy,847
ignore,848
decide,849
finish,850
overslept,851
moving,852
escaped,853
survived,854
forward,855
exist,856
horrible,857
liars,858
refused,859
relaxed,860
autistic,861
miss,862
fighting,863
apples,864
autumn,865
stood,866
listening,867
melted,868
smart,869
scared,870
shes,871
lazy,872
sleeping,873
missed,874
kids,875
theyre,876
warned,877
regret,878
proof,879
lucky,880
watched,881
movie,882
extremely,883
mad,884
whose,885
cooking,886
keys,887
library,888
train,889
recognized,890
camera,891
close,892
abroad,893
unknown,894
attempted,895
marry,896
making,897
ran,898
ought,899
passport,900
suffer,901
travel,902
following,903
pictures,904
noise,905
seeing,906
plus,907
happening,908
signal,909
turned,910
fell,911
skills,912
yes,913
fired,914
business,915
media,916
hour,917
exciting,918
carried,919
responsibility,920
discount,921
mountain,922
passed,923
front,924
row,925
eaten,926
meeting,927
suffering,928
rabbits,929
begun,930
low,931
pressure,932
war,933
among,934
celebrate,935
holiday,936
else,937
news,938
wear,939
noticed,940
battle,941
skiing,942
consists,943
far,944
engineer,945
viruses,946
field,947
presents,948
education,949
key,950
proud,951
bottle,952
spent,953
usual,954
till,955
final,956
united,957
bottom,958
necessary,959
fishing,960
giving,961
hed,962
japan,963
south,964
teachers,965
present,966
dollars,967
brain,968
syndrome,969
autism,970
trip,971
end,972
difficulty,973
sell,974
graduate,975
traveling,976
order,977
gets,978
girls,979
convince,980
pulled,981
arrived,982
werent,983
tries,984
consider,985
hundred,986
cities,987
cow,988
smith,989
diamond,990
pig,991
aliens,992
bear,993
method,994
asleep,995
according,996
jack,997
unlucky,998
americans,999
swift,1000
lead,1001
terrorism,1002
ads,1003
shows,1004
kinds,1005
juice,1006
meal,1007
ones,1008
special,1009
danger,1010
jane,1011
half,1012
hi,1013
hello,1014
relax,1015
shoot,1016
smile,1017
awesome,1018
wake,1019
ahead,1020
hurry,1021
calm,1022
fainted,1023
rained,1024
waited,1025
definitely,1026
lovely,1027
aside,1028
danced,1029
failed,1030
helped,1031
shocked,1032
talks,1033
coughed,1034
giggled,1035
itll,1036
dancing,1037
smiling,1038
listened,1039
engaged,1040
names,1041
worrying,1042
screamed,1043
hesitated,1044
closely,1045
simple,1046
searching,1047
ice,1048
hates,1049
volunteered,1050
fascinating,1051
pencil,1052
experts,1053
flower,1054
liar,1055
champagne,1056
doubted,1057
kicked,1058
sent,1059
stole,1060
shy,1061
clock,1062
radio,1063
minute,1064
kept,1065
virus,1066
fault,1067
feet,1068
hired,1069
lawyer,1070
timid,1071
guy,1072
available,1073
older,1074
box,1075
hide,1076
funeral,1077
useful,1078
disappointed,1079
held,1080
message,1081
committed,1082
offer,1083
student,1084
rarely,1085
mom,1086
decision,1087
evil,1088
fat,1089
bedridden,1090
holding,1091
drug,1092
pen,1093
younger,1094
encouraged,1095
dropped,1096
coffee,1097
comes,1098
dreamed,1099
art,1100
melt,1101
terrible,1102
learns,1103
motivated,1104
windows,1105
invited,1106
killing,1107
store,1108
shouldntve,1109
feeling,1110
reply,1111
press,1112
button,1113
sign,1114
sun,1115
whatever,1116
computers,1117
plays,1118
physics,1119
break,1120
cell,1121
drunk,1122
accept,1123
dreaming,1124
north,1125
deal,1126
thin,1127
secret,1128
given,1129
video,1130
bread,1131
forgotten,1132
joke,1133
brown,1134
professor,1135
heroin,1136
jeans,1137
team,1138
scissors,1139
nearby,1140
played,1141
tastes,1142
stars,1143
code,1144
exam,1145
ashamed,1146
suffers,1147
policeman,1148
wasted,1149
writing,1150
price,1151
evolution,1152
situation,1153
gray,1154
watering,1155
ate,1156
cut,1157
overweight,1158
october,1159
cookies,1160
everyones,1161
faith,1162
unshaken,1163
expensive,1164
hut,1165
maintained,1166
romantic,1167
supposed,1168
attention,1169
air,1170
problems,1171
seem,1172
actor,1173
baseball,1174
unfortunately,1175
pry,1176
private,1177
couldve,1178
restaurant,1179
capital,1180
branch,1181
report,1182
hell,1183
arguing,1184
join,1185
common,1186
public,1187
prior,1188
ball,1189
together,1190
fix,1191
moment,1192
sense,1193
destination,1194
road,1195
creatures,1196
letter,1197
ancient,1198
chinese,1199
flight,1200
beginning,1201
telling,1202
cheese,1203
behind,1204
returned,1205
london,1206
harder,1207
tend,1208
fight,1209
service,1210
refrigerator,1211
repeat,1212
reach,1213
death,1214
denied,1215
thirty,1216
introduce,1217
difference,1218
certain,1219
email,1220
convinced,1221
b,1222
prove,1223
stuck,1224
receive,1225
wolves,1226
comfortable,1227
intelligent,1228
sheep,1229
side,1230
american,1231
sisters,1232
control,1233
within,1234
german,1235
smoke,1236
invention,1237
happen,1238
impossible,1239
image,1240
religions,1241
upon,1242
meaning,1243
painting,1244
view,1245
ours,1246
bird,1247
lake,1248
finding,1249
alive,1250
ten,1251
sea,1252
send,1253
area,1254
states,1255
clothes,1256
regulations,1257
mandate,1258
protective,1259
eyewear,1260
eight,1261
interest,1262
opportunity,1263
millions,1264
strings,1265
society,1266
minister,1267
oxford,1268
instead,1269
devil,1270
result,1271
grand,1272
classes,1273
discovered,1274
sky,1275
friday,1276
wolf,1277
fewer,1278
vitamin,1279
bible,1280
recently,1281
general,1282
ramadan,1283
america,1284
parks,1285
replied,1286
environment,1287
international,1288
florida,1289
oranges,1290
rocket,1291
patients,1292
ias,1293
betty,1294
ring,1295
crowded,1296
voters,1297
molars,1298
movies,1299
germs,1300
fall,1301
