0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
2,3,23,13,10,114,13,947,650,2836,57,243,3692,0,14,47,18,16,3567,19,1238,6,0,14,10,947,1641,293,4,2,1,1,1,1
2,31,1990,5,3,419,694,14,3,32,454,44,6,276,309,12,43,138,7,438,9,3,2105,940,4,2,1,1,1,1,1,1,1,1
2,3,160,306,322,194,3,1178,1302,5,26,499,138,14,27,44,6,629,5,26,462,138,14,5,3,1126,41,2773,257,2773,615,1334,4,2
2,15,18,14,45,72,57,3,2544,10,6,71,5,3,0,0,207,41,22,14,78,5,3,799,163,231,581,5,3,901,176,4,2,1
2,3,177,41,1098,8,5,24,241,10,3,25,1444,22,1707,26,263,7,3,625,919,333,48,403,469,10,1031,249,4,2,1,1,1,1
2,15,0,149,3139,7,493,14,72,5,0,2686,947,14,166,44,3,0,5,65,499,138,14,0,17,6,197,5,65,462,4,2,1,1
2,15,18,16,44,3,58,807,41,39,2481,0,14,245,1145,921,5,0,14,10,3,54,476,17,246,91,75,0,4,2,1,1,1,1
2,3,13,9,217,3,1472,27,31,7,20,722,11,3,424,14,27,81,13,9,35,70,17,43,44,3,401,17,412,4,2,1,1,1
2,3,119,5,3,30,192,14,44,3,0,138,264,3500,11,105,1876,14,91,110,6,184,53,3,0,4,2,1,1,1,1,1,1,1
2,3,13,21,216,10,3,28,22,14,394,1063,0,14,106,19,20,114,8,21,3,25,22,10,3,282,4,2,1,1,1,1,1,1
2,3,177,41,209,13,21,3,28,923,10,216,139,3,1466,27,3,23,32,12,2954,96,2241,7,6,1466,4,2,1,1,1,1,1,1
2,3,8,5,3,0,24,22,2016,68,6,13,101,541,27,44,7,17,6,181,11,43,25,10,89,116,4,2,1,1,1,1,1,1
2,3,8,5,3,28,22,9,44,3,205,113,705,159,1694,7,4235,0,458,101,0,2223,1741,4,159,2,1,1,1,1,1,1,1,1
2,15,29,14,45,25,10,45,24,14,127,65,1274,10,1208,68,1379,57,243,99,340,4,2,1,1,1,1,1,1,1,1,1,1,1
2,3,173,5,3,277,51,832,9,482,3,881,27,55,19,20,2244,411,73,491,10,3,98,4,2,1,1,1,1,1,1,1,1,1
2,3,8,12,3,0,188,379,1566,413,738,9,40,12,81,8,188,9,0,68,3,643,4,2,1,1,1,1,1,1,1,1,1,1
2,3,33,10,32,5,25,2759,99,617,3,32,5,3,89,80,14,12,325,5,6,97,4,2,1,1,1,1,1,1,1,1,1,1
2,73,215,227,14,175,9,433,190,4214,5,0,14,243,16,76,257,1811,3,107,14,6,107,9,585,1827,4,2,1,1,1,1,1,1
2,1578,10,491,16,1136,5,3,570,380,12,3,8,5,3,28,299,9,372,235,6,42,11,26,137,4,2,1,1,1,1,1,1,1
2,3,13,10,3,54,149,128,5,3,531,1083,123,3,131,83,14,57,3,8,10,15,49,151,231,4,2,1,1,1,1,1,1,1
2,20,114,8,9,31,56,7,3,143,5,42,3,58,1466,113,705,14,159,0,0,0,0,4,159,2,1,1,1,1,1,1,1,1
2,3,8,5,3,131,207,41,22,464,6,0,17,1300,3,370,7,3,290,1727,279,3,247,3652,4,2,1,1,1,1,1,1,1,1
2,3,13,5,61,12,3,669,14,10,3,8,5,3,28,22,12,3,342,16,40,7,3,266,100,848,4,2,1,1,1,1,1,1
2,3,52,32,11,105,1876,14,9,31,5,3,25,564,189,3,0,14,12,3,288,526,7,43,157,4,2,1,1,1,1,1,1,1
2,3,63,21,3,30,162,41,1172,22,9,546,39,7,3,107,5,42,11,3,1559,1133,5,3,261,2402,5260,4,2,1,1,1,1,1
2,3,261,23,54,9,31,5,6,1293,12,556,7,26,302,10,157,10,9,36,12,6,283,0,4,2,1,1,1,1,1,1,1,1
2,1594,99,7,521,0,11,3,58,747,346,2456,5,3,186,12,2297,64,0,525,7,6,107,4,2,1,1,1,1,1,1,1,1,1
2,3,132,23,8,40,7,70,17,6,87,21,3,187,282,14,28,207,41,22,10,174,4,2,1,1,1,1,1,1,1,1,1,1
2,3,8,5,3,61,108,99,5,42,11,3,69,3182,14,57,5833,64,319,59,1303,3518,4,2,1,1,1,1,1,1,1,1,1,1
2,3,186,297,11,31,10,35,325,10,62,14,10,1268,89,10,25,710,360,64,6,1312,4,2,1,1,1,1,1,1,1,1,1,1
2,3,167,41,432,8,9,5746,50,6,910,11,3,529,191,104,188,9,31,7,3,0,93,4,2,1,1,1,1,1,1,1,1,1
2,3,187,104,12,3,30,233,10,24,146,9,3733,48,6,1540,27,78,17,544,711,4,2,1,1,1,1,1,1,1,1,1,1,1
2,3199,58,0,16,190,2212,7,3,0,5,20,2320,2485,48,45,8,57,81,106,7,4,2,1,1,1,1,1,1,1,1,1,1,1
2,3,13,21,3,89,22,488,3,8,12,3,193,316,852,17,721,73,244,12,1969,4,2,1,1,1,1,1,1,1,1,1,1,1
2,3,8,12,1412,9,36,12,6,96,11,3,13,188,9,31,7,3,242,7,3,1620,38,4,2,1,1,1,1,1,1,1,1,1
2,20,323,41,326,13,90,19,3,60,93,14,21,3,203,116,14,89,392,14,10,25,216,4,2,1,1,1,1,1,1,1,1,1
2,38,582,11,121,13,5,619,192,10,89,2531,41,450,5,42,11,3,3612,41,617,361,294,4,2,1,1,1,1,1,1,1,1,1
2,3,58,34,9,91,5,3,382,27,3,8,5,3,25,207,41,22,10,338,88,497,4,2,1,1,1,1,1,1,1,1,1,1
2,47,49,16,31,7,3,579,7,6,184,12,3,152,14,10,16,118,10,251,3,1192,527,4,2,1,1,1,1,1,1,1,1,1
2,3,8,21,77,514,10,3,233,9,77,3,24,197,14,10,6,197,9,91,3,1122,4,2,1,1,1,1,1,1,1,1,1,1
2,15,49,5,28,622,16,31,7,6,625,340,12,433,10,162,1207,401,1070,92,154,4,2,1,1,1,1,1,1,1,1,1,1,1
2,20,232,13,21,3,28,66,9,31,7,6,83,1994,120,61,7,3,346,343,43,4,2,1,1,1,1,1,1,1,1,1,1,1
2,3,8,31,7,3,242,12,3,459,5,26,180,0,120,17,868,7,3,247,336,4,2,1,1,1,1,1,1,1,1,1,1,1
2,416,665,14,1752,64,0,10,1752,64,1866,14,1222,5,3,863,637,7,3,911,4,2,1,1,1,1,1,1,1,1,1,1,1,1
2,3,37,11,87,41,3443,16,44,180,3051,3,271,617,6,46,14,39,6,87,4,2,1,1,1,1,1,1,1,1,1,1,1,1
2,3,8,113,106,339,204,135,1760,543,9,546,7,6,184,5,42,11,73,4141,4,2,1,1,1,1,1,1,1,1,1,1,1,1
2,3,13,5,3,24,22,10,25,146,885,1373,57,3,58,37,11,18,213,7,4,2,1,1,1,1,1,1,1,1,1,1,1,1
2,3,32,5,3,25,313,12,2965,147,17,458,476,17,246,238,12,112,18,82,4,2,1,1,1,1,1,1,1,1,1,1,1,1
2,15,29,16,55,19,6,661,11,3,775,27,45,2233,10,45,857,19,6,661,4,2,1,1,1,1,1,1,1,1,1,1,1,1
2,831,9,3,133,11,3,13,10,43,2509,10,54,164,3,1454,48,6,570,380,4,2,1,1,1,1,1,1,1,1,1,1,1,1
2,47,49,5,177,5595,10,278,688,7,3,290,38,27,3,34,90,70,17,154,4,2,1,1,1,1,1,1,1,1,1,1,1,1
