word,index
<unk>,0
<pad>,1
,2
.,3
ein,4
einem,5
in,6
eine,7
",",8
und,9
mit,10
auf,11
mann,12
einer,13
der,14
frau,15
die,16
zwei,17
einen,18
im,19
an,20
von,21
sich,22
dem,23
mädchen,24
junge,25
vor,26
zu,27
steht,28
männer,29
sitzt,30
hund,31
den,32
straße,33
während,34
gruppe,35
hält,36
spielt,37
das,38
hemd,39
personen,40
über,41
drei,42
eines,43
frauen,44
blauen,45
neben,46
ist,47
kind,48
roten,49
weißen,50
stehen,51
sitzen,52
menschen,53
am,54
aus,55
spielen,56
durch,57
bei,58
geht,59
trägt,60
fährt,61
wasser,62
um,63
kinder,64
kleines,65
person,66
macht,67
springt,68
kleiner,69
schwarzen,70
entlang,71
leute,72
gehen,73
etwas,74
mehrere,75
seinem,76
großen,77
oberteil,78
jungen,79
hand,80
grünen,81
läuft,82
sind,83
für,84
hintergrund,85
fahrrad,86
freien,87
jacke,88
luft,89
strand,90
ball,91
hat,92
anderen,93
schaut,94
junger,95
kleidung,96
hinter,97
sie,98
nach,99
andere,100
gelben,101
kleine,102
gebäude,103
vier,104
hut,105
tisch,106
wird,107
beim,108
nähe,109
essen,110
kleinen,111
menschenmenge,112
schwarzer,113
kamera,114
paar,115
vorbei,116
gras,117
hoch,118
t-shirt,119
hunde,120
boden,121
schnee,122
rennt,123
ihre,124
unter,125
ihren,126
kleid,127
gitarre,128
älterer,129
draußen,130
sein,131
zusammen,132
ihr,133
feld,134
bühne,135
fahren,136
brille,137
seine,138
herum,139
rennen,140
gehweg,141
kopf,142
sehen,143
er,144
blickt,145
dabei,146
foto,147
seinen,148
weißer,149
des,150
stadt,151
braunen,152
hinunter,153
park,154
liegt,155
laufen,156
versucht,157
arbeitet,158
jeans,159
als,160
bank,161
tragen,162
baby,163
dame,164
wie,165
machen,166
große,167
lächelt,168
schauen,169
brauner,170
ihrem,171
schwarz,172
ältere,173
orangefarbenen,174
ihm,175
junges,176
bürgersteig,177
arbeiten,178
hose,179
zeigt,180
sieht,181
spricht,182
