word,index
<unk>,0
<pad>,1
,2
a,3
.,4
in,5
the,6
on,7
man,8
is,9
and,10
of,11
with,12
woman,13
",",14
two,15
are,16
to,17
people,18
at,19
an,20
wearing,21
shirt,22
young,23
white,24
black,25
his,26
while,27
blue,28
men,29
red,30
sitting,31
girl,32
boy,33
dog,34
standing,35
playing,36
group,37
street,38
down,39
walking,40
-,41
front,42
her,43
holding,44
one,45
water,46
three,47
by,48
women,49
up,50
green,51
little,52
for,53
child,54
looking,55
outside,56
as,57
large,58
through,59
brown,60
yellow,61
children,62
person,63
from,64
their,65
hat,66
ball,67
into,68
small,69
next,70
other,71
dressed,72
some,73
out,74
over,75
building,76
riding,77
running,78
near,79
jacket,80
another,81
around,82
sidewalk,83
field,84
orange,85
crowd,86
beach,87
stands,88
pink,89
sits,90
jumping,91
behind,92
table,93
snow,94
grass,95
hair,96
background,97
bike,98
stand,99
city,100
's,101
air,102
girls,103
player,104
asian,105
looks,106
wall,107
top,108
four,109
off,110
dogs,111
several,112
that,113
older,114
camera,115
dress,116
park,117
talking,118
lady,119
something,120
blond,121
soccer,122
along,123
walks,124
guitar,125
boys,126
play,127
together,128
working,129
food,130
gray,131
smiling,132
picture,133
game,134
has,135
plays,136
car,137
hand,138
holds,139
it,140
road,141
him,142
bench,143
old,144
glasses,145
pants,146
shorts,147
stage,148
sit,149
carrying,150
walk,151
baby,152
couple,153
them,154
side,155
bicycle,156
face,157
tree,158
"""",159
male,160
pool,161
long,162
race,163
taking,164
rock,165
each,166
middle,167
doing,168
dirt,169
across,170
head,171
watching,172
guy,173
jeans,174
there,175
area,176
dark,177
jumps,178
boat,179
hands,180
back,181
female,182
day,183
ground,184
performing,185
room,186
baseball,187
who,188
eating,189
being,190
football,191
coat,192
striped,193
using,194
kids,195
suit,196
horse,197
under,198
band,199
watch,200
many,201
mouth,202
purple,203
he,204
sign,205
store,206
t,207
this,208
haired,209
sand,210
runs,211
tennis,212
look,213
players,214
construction,215
sunglasses,216
reading,217
clothing,218
microphone,219
mountain,220
