index,word
1,.
2,하다
3,은
4,이
5,톰
6,을
7,있다
8,는
9,에
10,가
11,를
12,?
13,그
14,들
15,것
16,의
17,나
18,","
19,난
20,내
21,않다
22,사람
23,말
24,수
25,이다
26,없다
27,우리
28,에서
29,보다
30,야
31,네
32,너
33,적
34,로
35,같다
36,이야
37,되다
38,고
39,도
40,싶다
41,생각
42,에게
43,더
44,좋다
45,안
46,메리
47,으로
48,한테
49,가다
50,좋아하다
51,!
52,오다
53,프랑스어
54,걸
55,일
56,하고
57,다
58,알
59,과
60,때
61,그것
62,알다
63,거야
64,한
65,배우다
66,많다
67,들다
68,게
69,인
70,모르다
71,좀
72,어떻다
73,""""
74,자다
75,거
76,와
77,아니다
78,해
79,너무
80,날
81,못
82,주다
83,되어다
84,줄
85,여기
86,당신
87,라고
88,먹다
89,왜
90,모두
91,보이다
92,집
93,우린
94,그녀
95,가장
96,시간
97,에는
98,정말
99,이건
100,받다
101,돼다
102,아무
103,고양이
104,살
105,그걸
106,자기
107,아
108,공부
109,아주
110,저
111,자신
112,학교
113,책
114,거기
115,위해
116,건
117,전
118,시작
119,서
120,가지
121,누구
122,죽다
123,그렇게
124,중
125,계속
126,넌
127,다른
128,도와주다
129,사용
130,해주다
131,모든
132,읽다
133,대해
134,친구
135,법
136,미안하다
137,크다
138,꿈
139,거짓말
140,믿다
141,뭐
142,남자
143,돈
144,많이
145,아직도
146,처럼
147,사실
148,"."""
149,앉다
150,말다
151,같이
152,몇
153,언어
154,타다
155,웃다
156,그렇다
157,얼마나
158,떠나다
159,그건
160,아이
161,개
162,인간
163,문제
164,물
165,이해
166,갈다
167,보내다
168,오늘
169,“
170,치다
171,쓰다
172,걸리다
173,이랑
174,때문
175,이상
176,보스턴
177,늘다
178,방법
179,기다리다
180,마
181,대답
182,지금
183,노래
184,원하다
185,제
186,뭔가
187,아직
188,만
189,선생님
190,이렇다
191,이제
192,찾다
193,동안
194,해보다
195,혼자
196,중독
197,자
198,어리다
199,어디
200,살다
201,랑
202,그리고
203,누가
204,새
205,두다
206,그만
207,무엇
208,내일
209,매우
210,진짜
211,거의
212,무슨
213,라는
214,바로
215,세
216,갖다
217,수영
218,그러나
219,과학
220,방
221,영어
222,그게
223,호주
224,눈
225,운전
226,번
227,하나
228,결혼
229,만들다
230,시키다
231,만나다
232,곳
233,컴퓨터
234,일어나다
235,어렵다
236,작다
237,언제
238,나이
239,명
240,필요
241,중요하다
242,대부분
243,데
244,세계
245,나다
246,다시
247,사랑
248,쉬다
249,새롭다
250,마리
251,꽤
252,노력
253,후
254,행동
255,한번
256,아침
257,에서는
258,여성
259,:
260,열심히
261,얘기
262,써다
263,누군가
264,나르다
265,빨리
266,따르다
267,아름답다
268,이름
269,사다
270,어제
271,학생
272,여자
273,만큼
274,일이
275,대한
276,생일
277,까지
278,명의
279,안다
280,잘
281,기억
282,요
283,싫다
284,줄다
285,질문
286,이유
287,이나
288,걱정
289,수도
290,비다
291,애
292,세상
293,두
294,나무
295,아프다
296,늦다
297,수가
298,괜찮다
299,다치다
300,차다
301,바쁘다
302,니까
303,피
304,외로워
305,머리
306,신
307,가르치다
308,널
309,뿐
310,프랑스
311,차
312,동물
313,입다
314,속
315,없이
316,위
317,들어가다
318,절대
319,지다
320,울다
321,기분
322,나쁘다
323,필요하다
324,보고
325,마음
326,자동차
327,거미
328,빌리다
329,지
330,둘
331,단지
332,항상
333,외롭다
334,다음
335,만약
336,의사
337,년
338,또한
339,시도
340,이기다
341,조심하다
342,버리다
343,키
344,조용하다
345,소리
346,이라도
347,자살
348,싫어하다
349,감기
350,느끼다
351,아마
352,너희
353,어디서
354,선택
355,몸
356,관심
357,한국
358,정말로
359,파티
360,음식
361,매일
362,선물
363,예
364,가보다
365,이라고
366,함께
367,어느
368,의미
369,훨씬
370,고맙다
371,이렇게
372,불다
373,싸우다
374,부르다
375,이상하다
376,이고
377,부탁
378,걸다
379,그냥
380,늙다
381,볼
382,실수
383,달
384,전부
385,약
386,곧
387,궁금하다
388,도움
389,맞다
390,거리
391,종종
392,남편
393,소년
394,정도
395,마다
396,소프트웨어
397,반
398,이야기
399,공원
400,바라다
401,끔찍하다
402,이지
403,그래서
404,서로
405,꽃
406,은행
407,뭘
408,지하철
409,이네
410,자주
411,돌아오다
412,경찰
413,일찍
414,결정
415,성
416,단어
417,여행
418,나오다
419,도착
420,나라
421,서다
422,"?"""
423,지구
424,나서다
425,들어오다
426,나가다
427,슬프다
428,생기다
429,멈추다
430,예요
431,엄마
432,운동
433,놓다
434,사과
435,집중
436,듣다
437,입
438,강아지
439,변화
440,무섭다
441,꾸다
442,빠르다
443,행복하다
444,아빠
445,놀라다
446,하
447,손
448,사회
449,지내다
450,아들
451,정확하다
452,3
453,식사
454,또
455,대화
456,크리스마스
457,종류
458,고등학교
459,한다는
460,부모님
461,번째
462,주
463,역사
464,발견
465,일해
466,준비
467,비
468,제발
469,물어보다
470,내다
471,끝내다
472,잠
473,지르다
474,끄다
475,녹다
476,버스
477,래
478,가지다
479,태어나다
480,밤
481,중이
482,다니다
483,충분하다
484,한때
485,전혀
486,인지
487,사진
488,2
489,위험하다
490,돌아가다
491,상황
492,그다지
493,쓸다
494,간
495,근처
496,별
497,기술
498,회사
499,편지
500,의하다
501,직업
502,겪다
503,어려움
504,-
505,도시
506,하지만
507,오늘날
508,보여주다
509,잡다
510,잊어버리다
511,재미있다
512,죄송하다
513,냄새
514,용서
515,존재
516,걔
517,흥미롭다
518,식물
519,빠지다
520,틀리다
521,담배
522,주장
523,열
524,총
525,키우다
526,사라지다
527,생선
528,바뀌다
529,굳다
530,세다
531,운
532,영화
533,사전
534,시계
535,변하다
536,텐데
537,침대
538,고용
539,남다
540,죽
541,몇몇
542,어린이
543,과거
544,부터
545,가끔
546,유행
547,산
548,딸
549,길
550,밖에
551,시험
552,아파트
553,할아버지
554,부모
555,안경
556,피아노
557,숙제
558,병
559,오후
560,정보
561,사이
562,미국
563,거나
564,‘
565,'
566,열다
567,깊다
568,잊다
569,저걸
570,당장
571,멋지다
572,와인
573,그거
574,답
575,빨갛다
576,거짓말쟁이
577,끝나다
578,편안하다
579,안전하다
580,문
581,어두워지다
582,자리
583,경고
584,빨간색
585,아이디어
586,소녀
587,게임
588,졸리다
589,조언
590,신발
591,바이러스
592,숨다
593,최선
594,실제
595,기대하다
596,엔
597,관
598,살이
599,이미
600,스키
601,30분
602,캐나다
603,저녁
604,조금
605,옷
606,모자
607,넣다
608,생활
609,물이
610,가격
611,얼마
612,권
613,저런
614,소설
615,척
616,상태
617,전쟁
618,일주일
619,음료
620,가기
621,기회
622,심각하다
623,성공
624,아내
625,공
626,뒤
627,오래
628,씨
629,공항
630,통증
631,가족
632,양
633,만들어지다
634,사무실
635,tv
636,여
637,지역
638,근로자
639,으로써
640,때때로
641,13
642,’
643,과학자
644,물다
645,다이옥신
646,안녕
647,쏘다
648,진정하다
649,귀엽다
650,물론
651,아래
652,천천히
653,선
654,추다
655,키스
656,물고기
657,똑똑하다
658,축하
659,하루
660,가방
661,선수
662,전문가
663,농담
664,계획
665,증거
666,밖
667,의심
668,책임
669,무언가
670,굽다
671,울
672,에게는
673,요리
674,잘못
675,별로
676,열쇠
677,피곤하다
678,보이
679,확실하다
680,씻다
681,테니스
682,고통
683,바닥
684,뭐라다
685,창문
686,날씨
687,자폐증
688,기타
689,셔츠
690,훌륭하다
691,인기
692,(
693,사
694,인가
695,1
696,아기
697,현재
698,구성
