index,word
1,tom
2,i
3,to
4,you
5,is
6,the
7,a
8,that
9,in
10,do
11,was
12,this
13,i'm
14,don't
15,of
16,me
17,have
18,my
19,be
20,are
21,it
22,he
23,think
24,your
25,like
26,his
27,for
28,french
29,want
30,we
31,mary
32,there
33,know
34,not
35,how
36,what
37,can
38,and
39,very
40,with
41,at
42,has
43,it's
44,didn't
45,been
46,as
47,go
48,going
49,on
50,here
51,did
52,really
53,why
54,she
55,can't
56,all
57,time
58,tell
59,they
60,isn't
61,ever
62,that's
63,if
64,help
65,too
66,would
67,no
68,please
69,had
70,something
71,doesn't
72,still
73,so
74,one
75,when
76,sorry
77,will
78,tom's
79,more
80,from
81,you're
82,said
83,about
84,us
85,keep
86,where
87,but
88,come
89,hard
90,than
91,who
92,work
93,school
94,now
95,never
96,old
97,used
98,i've
99,three
100,get
101,good
102,need
103,just
104,should
105,some
106,take
107,were
108,up
109,lonely
110,people
111,learn
112,stop
113,by
114,doing
115,out
116,any
117,everyone
118,him
119,cat
120,could
121,much
122,thought
123,home
124,an
125,boston
126,well
127,right
128,favorite
129,many
130,speak
131,water
132,person
133,made
134,love
135,only
136,lot
137,wanted
138,australia
139,came
140,knows
141,what's
142,day
143,our
144,see
145,look
146,say
147,alone
148,money
149,nobody
150,anything
151,we're
152,i'll
153,car
154,believe
155,told
156,live
157,science
158,long
159,wants
160,way
161,late
162,understand
163,tomorrow
164,feel
165,use
166,does
167,yesterday
168,quite
169,room
170,last
171,should've
172,left
173,lie
174,read
175,human
176,study
177,dog
178,everybody
179,book
180,give
181,house
182,let's
183,again
184,eat
185,knew
186,her
187,teacher
188,looks
189,language
190,today
191,make
192,two
193,yet
194,most
195,world
196,before
197,years
198,try
199,got
200,died
201,stay
202,problem
203,he's
204,learned
205,true
206,wasn't
207,wish
208,friends
209,into
210,or
211,every
212,down
213,leave
214,back
215,god
216,new
217,blood
218,hate
219,asked
220,cold
221,play
222,often
223,always
224,anymore
225,having
226,other
227,job
228,done
229,let
230,nothing
231,wrong
232,beautiful
233,buy
234,went
235,may
236,won't
237,i'd
238,these
239,age
240,better
241,wearing
242,answer
243,tried
244,trying
245,busy
246,someone
247,young
248,year
249,studying
250,meet
251,met
252,man
253,married
254,same
255,we'll
256,week
257,learning
258,class
259,wait
260,anyone
261,felt
262,remember
263,drive
264,fish
265,suicide
266,sleep
267,find
268,dark
269,happened
270,life
271,both
272,books
273,father
274,difficult
275,bed
276,night
277,food
278,hope
279,after
280,sure
281,next
282,there's
283,software
284,birthday
285,off
286,them
287,sing
288,talk
289,over
290,red
291,cats
292,happy
293,easy
294,dream
295,languages
296,moon
297,you'll
298,heard
299,working
300,subway
301,medicine
302,english
303,social
304,getting
305,without
306,children
307,says
308,computer
309,who's
310,hours
311,open
312,lost
313,works
314,sit
315,watch
316,yourself
317,took
318,aren't
319,everything
320,snow
321,soon
322,seems
323,police
324,enough
325,woman
326,korea
327,question
328,thinks
329,pretty
330,party
331,tonight
332,little
333,mary's
334,haven't
335,afraid
336,you've
337,swimming
338,forget
339,start
340,am
341,mind
342,looked
343,around
344,reading
345,singing
346,talking
347,myself
348,might
349,write
350,bought
351,bank
352,borrow
353,saw
354,being
355,dictionary
356,killed
357,later
358,spiders
359,small
360,gave
361,act
362,seen
363,child
364,phone
365,friend
366,thing
367,couldn't
368,wouldn't
369,important
370,students
371,able
372,ridiculous
373,christmas
374,assure
375,six
376,times
377,few
378,call
379,lied
380,fun
381,cried
382,ask
383,nice
384,die
385,called
386,inside
387,walk
388,anybody
389,addicted
390,looking
391,hear
392,loves
393,taught
394,idea
395,addict
396,eating
397,almost
398,boat
399,wonder
400,canadian
401,swim
402,you'd
403,daughter
404,sitting
405,apartment
406,high
407,piano
408,under
409,spend
410,fire
411,won
412,listen
413,away
414,hands
415,smiled
416,laughed
417,care
418,turn
419,wine
420,bad
421,ok
422,quiet
423,cry
424,mine
425,great
426,name
427,caught
428,stupid
429,drink
430,horse
431,mistake
432,mother
433,seemed
434,sleepy
435,advice
436,born
437,we've
438,best
439,rest
440,yours
441,expect
442,longer
443,tired
444,fact
445,interested
446,acting
447,word
448,eggs
449,dangerous
450,four
451,those
452,cost
453,brother
454,five
455,matter
456,parents
457,point
458,since
459,probably
460,thanks
461,sad
462,ready
463,hold
464,careful
465,forgive
466,hurt
467,boys
468,serious
469,curious
470,nervous
471,crying
472,kissed
473,move
474,finished
475,flowers
476,change
477,carefully
478,interesting
479,hair
480,safe
481,bus
482,kind
483,manager
484,fast
485,real
486,girl
487,bit
488,win
489,must
490,acted
491,mean
492,truth
493,big
494,already
495,past
496,choice
497,gone
498,first
499,guitar
500,decided
501,dinner
502,taking
503,equals
504,hat
505,put
506,morning
507,equal
508,blue
509,meat
510,grandfather
511,accident
512,chance
513,thirty
514,lives
515,native
516,speaker
517,worth
518,speaking
519,studied
520,things
521,john
522,because
523,perfect
524,welcome
525,hurts
526,trust
527,check
528,quick
529,tall
530,warm
531,lying
532,questions
533,dreams
534,disappeared
535,full
536,spider
537,plan
538,even
539,waiting
540,music
541,save
542,changed
543,monday
544,kid
545,worried
546,where's
547,guess
548,white
549,coming
550,weird
551,addictive
552,song
553,visit
554,surprised
555,tennis
556,weather
557,hasn't
558,allowed
559,somewhere
560,early
561,country
562,injured
563,prison
564,waste
565,delicious
566,breakfast
567,door
568,likes
569,speaks
570,umbrella
571,pay
572,animals
573,named
574,diagnosed
575,station
576,singer
577,means
578,needs
579,lived
580,family
581,living
582,company
583,ago
584,doctor
585,whether
586,concentrating
587,success
588,words
589,summer
590,actually
591,possible
592,such
593,days
594,alice
595,trouble
596,vacation
597,except
598,earth
599,run
600,jump
601,fair
602,goodbye
603,show
604,wash
605,cool
606,grab
607,cute
608,deep
609,stand
610,quit
611,dogs
612,thank
613,carry
614,slowly
615,exists
616,chuckled
617,envy
618,ignore
619,strange
620,overslept
621,escaped
622,sick
623,survived
624,horrible
625,liars
626,hot
627,driving
628,smoking
629,refused
630,autistic
631,horses
632,winter
633,depressed
634,head
635,honest
636,peace
637,apples
638,autumn
639,listening
640,melted
641,smart
642,scared
643,green
644,voice
645,boss
646,she's
647,bag
648,number
649,missed
650,kids
651,they're
652,free
653,worked
654,regret
655,proof
656,eyes
657,laugh
658,movie
659,extremely
660,game
661,unhappy
662,mad
663,pass
664,stopped
665,2013
666,light
667,either
668,keys
669,single
670,library
671,recognized
672,30
673,camera
674,close
675,africa
676,lose
677,abroad
678,angry
679,unknown
680,attempted
681,women
682,passport
683,suffer
684,shirt
685,began
686,color
687,hire
688,sometimes
689,plus
690,happening
691,while
692,turned
693,sat
694,started
695,catch
696,fired
697,weight
698,responsibility
699,coat
700,discount
701,mountain
702,sold
703,eaten
704,teach
705,prefer
706,park
707,completely
708,1
709,men
710,body
711,until
712,loved
713,humans
714,several
715,crazy
716,clean
717,boy
718,else
719,watching
720,dress
721,bigger
722,depression
723,sooner
724,experience
725,consists
726,engineer
727,viruses
728,less
729,wife
730,minutes
731,place
732,bottle
733,spent
734,which
735,different
736,final
737,bottom
738,floor
739,drinks
740,through
741,afternoon
742,player
743,sister
744,he'd
745,airport
746,japan
747,south
748,brain
749,autism
750,sound
751,weren't
752,hello
753,oh
754,relax
755,shoot
756,smile
757,awesome
758,hit
759,shut
760,hurry
761,fly
762,calm
763,follow
764,fainted
765,rained
766,kill
767,course
768,seriously
769,talked
770,waited
771,wonderful
772,patient
773,choose
774,along
775,definitely
776,lovely
777,how's
778,once
779,danced
780,failed
