0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
2,3,8,5,3,25,80,10,1188,66,21,25,10,24,193,146,136,20,735,125,7,3,148,12,3,780,10,81,125,104,5,6,97,4,2
2,3,8,21,3,131,22,14,28,174,10,3,1198,51,560,338,9,35,7,3,1094,301,12,3,24,275,10,3,24,76,5,6,97,4,2
2,3,33,5,3,30,230,9,681,17,3286,256,74,19,544,741,14,27,6,1540,5,6,28,230,9,681,17,365,142,4,2,1,1,1,1
2,15,103,14,45,114,10,5,25,10,45,529,10,5,24,14,16,185,6,667,1757,837,5,42,11,2125,729,64,710,4,2,1,1,1,1
2,15,777,1818,17,246,827,27,35,5,42,11,3,275,101,181,14,10,92,3,306,1428,14,27,109,18,99,82,154,4,2,1,1,1,1
2,18,36,161,14,45,9,3,8,21,3,28,22,10,6,284,16,49,1262,65,767,16,959,2901,6,115,550,4,2,1,1,1,1,1,1
2,3,13,5,28,106,5,3,25,727,264,27,31,7,3,143,225,3,395,2087,27,18,10,0,3133,92,43,4,2,1,1,1,1,1,1
2,3,8,5,298,305,218,1241,3,37,11,29,21,177,622,10,278,35,82,3,13,72,5,3,0,2305,4,2,1,1,1,1,1,1,1
2,3,38,79,3,0,12,112,18,870,3,8,21,3,60,192,10,216,12,26,138,17,26,157,4,2,1,1,1,1,1,1,1,1,1
2,3,2439,523,14,72,5,297,601,230,14,690,26,66,12,3,97,11,18,31,181,10,55,74,335,6,1748,4,2,1,1,1,1,1,1
2,3,427,11,3,3138,0,14,2140,3,8,5,3,25,501,10,3,24,187,282,35,5,6,167,11,6,1052,4,2,1,1,1,1,1,1
2,15,197,398,2321,14,45,5,1188,28,10,30,10,6,71,5,85,10,60,14,16,398,235,3,2949,97,4,2,1,1,1,1,1,1,1
2,3,664,41,1270,10,15,62,56,65,544,168,446,244,3720,57,194,3,5115,7,6,95,10,1923,3,158,4,2,1,1,1,1,1,1,1
2,15,1280,1072,21,297,1002,351,14,12,45,5,444,375,3,269,10,6,71,55,39,19,26,294,4,2,1,1,1,1,1,1,1,1,1
2,3,13,21,3,277,89,3540,750,3,157,17,3,13,21,3,203,3540,27,35,56,3,0,0,4,2,1,1,1,1,1,1,1,1,1
2,20,323,326,8,333,48,592,3543,24,1358,10,177,305,2122,0,932,59,3,3109,0,7,1360,4,2,1,1,1,1,1,1,1,1,1,1
2,18,149,7,3,143,5,3,100,805,12,5478,1508,870,3,1559,10,3,0,1709,35,497,4,2,1,1,1,1,1,1,1,1,1,1,1
2,3,8,5,3,24,501,9,460,120,12,1703,7,3,1644,56,53,3,13,5,3,281,80,4,2,1,1,1,1,1,1,1,1,1,1
2,208,104,12,6,28,233,1746,19,847,10,453,2728,561,19,6,67,225,3,236,187,134,4,2,1,1,1,1,1,1,1,1,1,1,1
2,3,13,5,174,124,48,3,292,12,20,2909,3974,3,13,1647,75,43,216,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,23,8,40,12,81,23,8,5039,181,19,47,103,243,453,3133,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,29,36,407,14,12,45,104,2780,6,67,1262,180,1827,5,6,102,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,47,62,5,191,337,11,15,567,638,16,36,191,7,3,191,84,14,27,81,104,10,20,386,99,5,6,97,4,2,1,1,1,1,1
2,15,323,326,665,280,7,3,1503,39,3,100,38,113,476,17,246,5,3,744,0,176,11,3,58,100,176,4,2,1,1,1,1,1,1
2,3,58,590,5747,3,8,14,0,367,14,5,3,559,12,26,3467,14,27,3,559,734,211,17,930,4,2,1,1,1,1,1,1,1,1
2,15,163,491,14,45,30,10,45,28,14,16,505,155,48,155,39,3,1289,27,190,1967,48,112,581,4,2,1,1,1,1,1,1,1,1
2,6,223,104,5,6,24,230,12,6,447,0,7,140,9,3449,6,104,5,6,25,230,12,6,447,2906,7,140,4,2,1,1,1,1,1
2,3,32,21,3,187,282,14,24,207,41,22,10,28,147,9,35,5,3,165,41,0,14,396,41,473,220,1010,4,2,1,1,1,1,1
2,8,2693,5,3,650,116,339,452,14,27,35,70,17,26,2784,188,1260,1206,17,246,2693,57,744,4,2,1,1,1,1,1,1,1,1,1
2,680,223,214,0,53,6,67,10,45,5,30,494,259,17,388,67,64,173,5,24,494,4,2,1,1,1,1,1,1,1,1,1,1,1
2,15,777,64,6,51,236,3732,6,71,787,64,25,236,53,6,67,5,3,134,11,1062,4,2,1,1,1,1,1,1,1,1,1,1,1
2,3,3679,13,578,3,58,4308,0,10,0,17,0,1166,1563,57,312,88,5,3,0,84,4,2,1,1,1,1,1,1,1,1,1,1,1
2,3,8,5,3,30,22,124,231,3,1964,10,24,1188,130,2292,1538,159,0,4873,0,4,159,2,1,1,1,1,1,1,1,1,1,1,1
2,3,8,5,3,196,10,639,10,3,13,12,1028,0,284,5,253,5,6,1502,2401,4,2,1,1,1,1,1,1,1,1,1,1,1,1
2,18,0,110,5,3,382,14,3,13,5,3,24,116,90,7,6,483,55,7,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,8,118,17,3,354,0,44,73,687,11,0,952,57,243,213,7,10,526,17,246,0,4,2,1,1,1,1,1,1,1,1,1,1
2,6,119,21,25,2829,145,10,3,61,316,80,106,3000,57,312,90,7,6,281,221,143,4,2,1,1,1,1,1,1,1,1,1,1,1
2,3,160,5,3,196,44,3,1308,5,3,517,40,39,6,83,14,70,17,3,100,292,4,2,1,1,1,1,1,1,1,1,1,1,1
2,3945,581,200,57,3,1396,1287,750,3,1298,10,3,8,5,3,196,139,3,614,11,511,4,2,1,1,1,1,1,1,1,1,1,1,1
2,3,8,5,20,85,22,10,3,121,33,16,77,12,71,18,7,3,159,0,159,528,4,2,1,1,1,1,1,1,1,1,1,1,1
2,3,69,33,21,187,0,139,3,847,92,26,171,12,3,187,2536,5,42,11,142,4,2,1,1,1,1,1,1,1,1,1,1,1,1
2,15,160,3959,214,16,7,260,823,6,287,5,42,11,0,165,14,3,69,86,228,4,2,1,1,1,1,1,1,1,1,1,1,1,1
2,13,21,60,755,10,28,174,14,5,3,24,22,14,44,3,152,198,3,403,158,4,2,1,1,1,1,1,1,1,1,1,1,1,1
2,3,23,54,21,20,85,702,338,44,20,3120,1030,3,28,993,5,3,302,11,46,4,2,1,1,1,1,1,1,1,1,1,1,1,1
2,250,18,40,50,3,362,11,390,4170,48,3,13,5,3,89,22,10,60,450,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1970,2642,53,5169,2384,0,363,3,1834,2646,104,681,17,1831,142,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,175,9,20,0,11,3,160,10,182,1571,3,4686,257,71,58,1857,247,373,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,8,12,145,106,19,115,27,81,8,5,3,28,22,106,1497,19,120,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,1397,12,3,25,22,113,705,159,105,0,0,159,136,3,814,27,31,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,551,188,2141,110,26,648,5,6,224,27,259,17,280,3,334,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,3929,5,3,2701,206,0,3,1697,1075,3276,53,26,2644,10,0,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,8,72,5,514,10,3,428,66,90,793,3,197,113,9,91,27,489,149,5,6,88,4,2,1,1,1,1,1,1,1,1,1,1
2,3,23,32,12,866,121,41,96,10,21,3,24,108,1026,5,6,95,14,44,3,534,5695,4,2,1,1,1,1,1,1,1,1,1,1
2,3,354,9,40,7,6,83,59,6,94,27,3,8,90,7,6,155,12,26,310,517,4,2,1,1,1,1,1,1,1,1,1,1,1
2,3,54,5,3,30,192,562,3,138,5,6,102,27,546,5,94,343,3,30,430,842,4,2,1,1,1,1,1,1,1,1,1,1,1
2,109,29,14,47,11,2082,16,21,3590,1618,14,16,31,7,3,28,10,2793,51,1805,911,4,2,1,1,1,1,1,1,1,1,1,1,1
2,15,103,1216,45,72,5,28,14,10,45,72,5,89,1258,16,398,45,81,7,2575,4,2,1,1,1,1,1,1,1,1,1,1,1,1
2,20,2291,9,1784,3,13,3,264,27,312,9,1684,59,441,7,260,19,3,38,274,4,2,1,1,1,1,1,1,1,1,1,1,1,1
2,15,62,14,3,33,5,3,61,22,10,3,32,5,28,10,24,1453,14,561,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,387,173,584,110,5,6,451,27,47,13,16,40,231,3,86,31,56,3,719,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,182,914,12,3,689,136,7,3,38,27,3,13,12,3,28,125,106,7,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,69,24,137,9,7,6,237,1012,10,2525,257,2525,959,413,1760,543,48,6,237,92,140,4,2,1,1,1,1,1,1,1,1,1,1
2,20,323,41,326,33,21,28,147,14,3,25,10,30,22,14,10,24,1736,14,9,36,212,4,2,1,1,1,1,1,1,1,1,1,1
2,3,8,505,3,109,2412,528,12,109,1240,77,7,6,42,10,3,8,31,2063,7,6,181,4,2,1,1,1,1,1,1,1,1,1,1
2,2199,361,16,35,5,6,97,27,3,23,8,12,3,30,500,968,26,157,9,40,4,2,1,1,1,1,1,1,1,1,1,1,1,1
2,15,18,21,1509,0,41,339,566,14,45,28,10,45,203,14,16,35,5,3,141,4,2,1,1,1,1,1,1,1,1,1,1,1,1
2,3,13,5,3,1381,25,299,10,24,233,77,3,98,12,2435,249,5,6,97,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,23,119,10,8,72,5,0,371,5867,757,12,3,37,11,18,5,6,97,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,54,715,75,3,604,729,50,11,28,10,61,430,14,27,20,386,106,7,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,8,5,3,25,22,31,19,3,93,12,20,309,1352,775,5,42,11,142,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,6,32,5,61,9,418,19,6,32,21,85,1677,190,1967,48,6,32,5,28,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,13,5,3,30,22,9,77,20,254,24,197,113,9,3440,123,6,249,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,13,9,35,5,3,51,84,44,3,24,34,10,608,19,3,60,34,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,495,5749,43,15,23,126,17,441,110,11,3,549,2695,68,261,28,46,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,13,5,3,30,589,91,17,543,3,67,27,36,407,19,3,87,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,32,90,7,3,1189,98,12,3,529,33,27,81,32,295,3,133,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,13,295,3,133,11,3,152,21,3,89,66,27,3,8,503,43,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,13,5,3,131,316,10,25,187,282,9,35,5,271,19,3,315,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,54,5,28,10,3,54,5,24,99,7,3,385,433,107,48,3,1010,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,8,5,3,89,22,9,31,5,6,95,10,3,67,9,5,6,102,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,13,31,7,3,261,58,165,132,19,6,115,12,249,5,6,97,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,47,29,5,30,10,24,193,241,14,24,146,14,10,25,278,607,542,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,1283,40,21,3,25,192,10,146,7,6,390,57,115,4060,7,6,34,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,20,936,63,5,3,30,22,10,25,146,1316,75,3,644,7,433,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,15,23,29,77,7,3,261,69,197,41,1881,1256,297,11,4300,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,0,9,3594,17,1499,26,180,1530,1262,0,204,9,538,0,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,8,5,3,25,22,10,174,35,7,6,83,55,19,6,115,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,8,5,3,61,192,4470,3,370,14,3,33,5,3,4263,228,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,47,18,149,19,3,915,93,56,11,3,76,525,339,3,4509,2756,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,13,10,3,54,3031,27,6,54,0,458,243,413,1760,291,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,8,5,3,25,10,24,494,9,44,61,646,1034,10,369,17,388,110,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,387,8,5,25,147,9,35,7,6,549,513,17,3,58,302,11,46,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,13,21,3,25,313,108,10,3,471,1567,1450,110,68,6,451,79,675,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,20,1728,13,12,162,25,96,5,3,89,22,12,3,1506,1348,9,1754,2770,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,8,185,3,318,7,3,156,48,35,7,6,5397,27,6,98,9,2892,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,33,5,3,25,22,10,30,0,360,807,39,27,71,18,213,7,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,132,8,21,3,342,139,26,4052,50,5,42,11,3,33,5,145,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,47,29,16,35,7,3,148,14,45,9,21,734,888,10,44,3,125,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,32,21,25,1182,218,12,6,447,0,7,43,494,211,170,73,95,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,69,33,136,12,430,1019,14,491,14,10,1148,12,20,386,172,1867,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,18,16,35,7,3,344,353,14,10,6,630,56,9,1966,59,6,239,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,6,15,111,14,45,12,3,212,67,5,226,202,14,16,78,59,403,95,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,8,31,19,3,915,93,12,3,1958,10,1511,0,459,5,42,11,142,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,182,361,704,5,3,282,10,1283,230,345,27,21,216,56,11,3,315,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,13,211,375,291,3,543,5,49,101,944,14,6,1540,4354,17,43,618,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,8,5,230,10,3,8,5,3,28,22,16,35,5,42,11,3,275,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,23,8,5,3,28,22,2505,3,660,7,3,263,5,20,708,176,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,15,29,14,45,5,25,10,24,10,45,5,30,14,16,36,87,407,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,955,1006,3,8,406,26,580,64,6,331,270,14,311,17,246,2687,74,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,8,5,3,131,22,178,75,6,108,11,3,210,1318,5,6,829,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,479,240,50,3,433,107,14,2787,748,110,57,204,651,3,318,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,23,33,21,3,28,66,9,55,59,3,858,27,81,33,228,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,718,54,12,145,44,3,121,54,21,3,30,316,10,61,514,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,6,0,0,225,3,2571,475,3554,413,0,0,14,0,10,3590,542,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,13,7,3,179,2539,159,4007,0,159,3395,25,5861,68,6,46,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,45,8,139,81,8,101,171,39,10,557,17,2359,142,5,6,157,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,23,32,5,3,89,22,9,7,3,87,78,457,6,224,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,119,21,3,0,316,10,174,9,31,12,180,7,43,462,910,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,37,11,23,945,16,91,19,304,291,1369,435,53,6,115,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,23,8,31,7,3,263,14,44,3,285,14,10,248,7,6,1156,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,1211,5,24,10,3,52,32,21,3,61,116,36,12,76,848,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,20,323,326,54,9,44,120,50,113,2883,5,6,133,16,4313,11,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,37,11,105,62,72,5,24,241,10,278,185,12,3,86,55,7,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,20,105,13,5,3,1118,623,116,435,7,3,364,699,17,43,2259,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,13,5,3,89,316,10,20,501,14,573,3,93,12,3,4425,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
