,소둔일시_str,소둔일시_num,소둔일시_date,YP,TS,EL
0,200202 06,43863.2625,2020-02-02 6:18,813,1082,13
1,200427 03,43948.16319,2020-04-27 3:55,844,1098,12
2,200202 05,43863.22986,2020-02-02 5:31,805,1070,12
3,210915 22,44454.93264,2021-09-15 22:23,717,1024,13
4,210113 01,44209.06042,2021-01-13 1:27,871,1097,11
5,210112 23,44208.9875,2021-01-12 23:42,819,1074,13
6,210916 01,44455.07431,2021-09-16 1:47,710,1023,12
7,210210 15,44237.65347,2021-02-10 15:41,728,1046,13
8,201116 14,44151.61944,2020-11-16 14:52,761,1073,13
9,211025 20,44494.8375,2021-10-25 20:06,737,1064,12
10,210915 22,44454.93264,2021-09-15 22:23,717,1024,13
11,211106 05,44506.21042,2021-11-06 5:03,763,1085,12
12,211129 06,44529.26409,2021-11-29 6:20,757,1064,13
13,210916 00,44455.04097,2021-09-16 0:59,712,1013,13
14,211125 17,44525.72821,2021-11-25 17:28,773,1058,13
15,210113 07,44209.30278,2021-01-13 7:16,834,1069,12
16,200303 10,43893.45278,2020-03-03 10:52,823,1073,13
17,210619 02,44366.11458,2021-06-19 2:45,732,1087,13
18,210525 09,44341.41458,2021-05-25 9:57,744,1063,12
19,200728 19,44040.81597,2020-07-28 19:35,791,1053,14
20,200427 05,43948.2375,2020-04-27 5:42,840,1078,11
21,210916 00,44455.04097,2021-09-16 0:59,700,1020,13
22,200826 19,44069.81667,2020-08-26 19:36,781,1057,12
23,211101 20,44501.86042,2021-11-01 20:39,752,1075,12
24,201207 05,44172.23611,2020-12-07 5:40,717,1030,14
25,210916 00,44455.0125,2021-09-16 0:18,701,1014,12
26,210525 09,44341.39861,2021-05-25 9:34,756,1075,12
27,200728 19,44040.82292,2020-07-28 19:45,758,1034,14
28,210222 15,44249.65903,2021-02-22 15:49,731,1049,13
29,211102 01,44502.08125,2021-11-02 1:57,761,1096,12
30,211125 19,44525.809,2021-11-25 19:24,765,1067,13
31,210916 00,44455.0125,2021-09-16 0:18,709,1024,13
32,210113 00,44209.0375,2021-01-13 0:54,843,1093,11
33,211106 05,44506.21042,2021-11-06 5:03,832,1109,11
34,200410 02,43931.11528,2020-04-10 2:46,895,1136,12
35,210619 03,44366.12847,2021-06-19 3:05,721,1054,13
36,210210 15,44237.65764,2021-02-10 15:47,739,1055,13
37,200618 09,44000.38889,2020-06-18 9:20,694,1030,13
38,201116 14,44151.61111,2020-11-16 14:40,746,1051,12
39,201021 20,44125.84375,2020-10-21 20:15,764,1063,12
40,201207 04,44172.17083,2020-12-07 4:06,734,1048,13
41,210505 17,44321.71736,2021-05-05 17:13,723,1046,13
42,210113 00,44209.00833,2021-01-13 0:12,822,1078,12
43,210113 02,44209.08889,2021-01-13 2:08,845,1076,12
44,210226 15,44253.66528,2021-02-26 15:58,743,1041,13
45,210226 15,44253.63542,2021-02-26 15:15,731,1047,13
46,210915 22,44454.93264,2021-09-15 22:23,704,1011,13
47,211106 04,44506.1875,2021-11-06 4:30,751,1071,13
48,200210 18,43871.77847,2020-02-10 18:41,850,1106,11
49,210113 05,44209.21181,2021-01-13 5:05,842,1084,10
