word,index
tom,1
i,2
to,3
you,4
is,5
the,6
a,7
that,8
in,9
do,10
was,11
this,12
i'm,13
don't,14
of,15
me,16
have,17
my,18
be,19
are,20
it,21
he,22
think,23
your,24
like,25
his,26
for,27
french,28
want,29
we,30
mary,31
there,32
know,33
not,34
how,35
what,36
can,37
and,38
very,39
with,40
at,41
has,42
it's,43
didn't,44
been,45
as,46
go,47
going,48
on,49
here,50
did,51
really,52
why,53
she,54
can't,55
all,56
time,57
tell,58
they,59
isn't,60
ever,61
that's,62
if,63
help,64
too,65
would,66
no,67
please,68
had,69
something,70
doesn't,71
still,72
so,73
one,74
when,75
sorry,76
will,77
tom's,78
more,79
from,80
you're,81
said,82
about,83
us,84
keep,85
where,86
but,87
come,88
hard,89
than,90
who,91
work,92
school,93
now,94
never,95
old,96
used,97
i've,98
three,99
get,100
good,101
need,102
just,103
should,104
some,105
take,106
were,107
up,108
lonely,109
people,110
learn,111
stop,112
by,113
doing,114
out,115
any,116
everyone,117
him,118
cat,119
could,120
much,121
thought,122
home,123
an,124
boston,125
well,126
right,127
favorite,128
many,129
speak,130
water,131
person,132
made,133
love,134
only,135
lot,136
wanted,137
australia,138
came,139
knows,140
what's,141
day,142
our,143
see,144
look,145
say,146
alone,147
money,148
nobody,149
anything,150
we're,151
i'll,152
car,153
believe,154
told,155
live,156
science,157
long,158
wants,159
way,160
late,161
understand,162
tomorrow,163
feel,164
use,165
does,166
yesterday,167
quite,168
room,169
last,170
should've,171
left,172
lie,173
read,174
human,175
study,176
dog,177
everybody,178
book,179
give,180
house,181
let's,182
again,183
eat,184
knew,185
her,186
teacher,187
looks,188
language,189
today,190
make,191
two,192
yet,193
most,194
world,195
before,196
years,197
try,198
got,199
died,200
stay,201
problem,202
he's,203
learned,204
true,205
wasn't,206
wish,207
friends,208
into,209
or,210
every,211
down,212
leave,213
back,214
god,215
new,216
blood,217
hate,218
asked,219
cold,220
play,221
often,222
always,223
anymore,224
having,225
other,226
job,227
done,228
let,229
nothing,230
wrong,231
beautiful,232
buy,233
went,234
may,235
won't,236
i'd,237
these,238
age,239
better,240
wearing,241
answer,242
tried,243
trying,244
busy,245
someone,246
young,247
year,248
studying,249
meet,250
met,251
man,252
married,253
same,254
we'll,255
week,256
learning,257
class,258
wait,259
anyone,260
felt,261
remember,262
drive,263
fish,264
suicide,265
sleep,266
find,267
dark,268
happened,269
life,270
both,271
books,272
father,273
difficult,274
bed,275
night,276
food,277
hope,278
after,279
sure,280
next,281
there's,282
software,283
birthday,284
off,285
them,286
sing,287
talk,288
over,289
red,290
cats,291
happy,292
easy,293
dream,294
languages,295
moon,296
you'll,297
heard,298
working,299
subway,300
medicine,301
english,302
social,303
getting,304
without,305
children,306
says,307
computer,308
who's,309
hours,310
open,311
lost,312
works,313
sit,314
watch,315
yourself,316
took,317
aren't,318
everything,319
snow,320
soon,321
seems,322
police,323
enough,324
woman,325
korea,326
question,327
thinks,328
pretty,329
party,330
tonight,331
little,332
mary's,333
haven't,334
afraid,335
you've,336
swimming,337
forget,338
start,339
am,340
mind,341
looked,342
around,343
reading,344
singing,345
talking,346
myself,347
might,348
write,349
bought,350
bank,351
borrow,352
saw,353
being,354
dictionary,355
killed,356
later,357
spiders,358
small,359
gave,360
act,361
seen,362
child,363
phone,364
friend,365
thing,366
couldn't,367
wouldn't,368
important,369
students,370
able,371
ridiculous,372
christmas,373
assure,374
six,375
times,376
few,377
call,378
lied,379
fun,380
cried,381
ask,382
nice,383
die,384
called,385
inside,386
walk,387
anybody,388
addicted,389
looking,390
hear,391
loves,392
taught,393
idea,394
addict,395
eating,396
almost,397
boat,398
wonder,399
canadian,400
swim,401
you'd,402
daughter,403
sitting,404
apartment,405
high,406
piano,407
under,408
spend,409
fire,410
won,411
listen,412
away,413
hands,414
smiled,415
laughed,416
care,417
turn,418
wine,419
bad,420
ok,421
quiet,422
cry,423
mine,424
great,425
name,426
caught,427
stupid,428
drink,429
horse,430
mistake,431
mother,432
seemed,433
sleepy,434
advice,435
born,436
we've,437
best,438
rest,439
yours,440
expect,441
longer,442
tired,443
fact,444
interested,445
acting,446
word,447
eggs,448
dangerous,449
four,450
those,451
cost,452
brother,453
five,454
matter,455
parents,456
point,457
since,458
probably,459
thanks,460
sad,461
ready,462
hold,463
careful,464
forgive,465
hurt,466
boys,467
serious,468
curious,469
nervous,470
crying,471
kissed,472
move,473
finished,474
flowers,475
change,476
carefully,477
interesting,478
hair,479
safe,480
bus,481
kind,482
manager,483
fast,484
real,485
