index,word
1,tom
2,to
3,i
4,the
5,a
6,you
7,is
8,in
9,that
10,of
11,and
12,was
13,do
14,it
15,this
16,have
17,are
18,he
19,be
20,my
21,i'm
22,for
23,me
24,don't
25,his
26,like
27,your
28,think
29,they
30,not
31,we
32,can
33,at
34,there
35,what
36,know
37,want
38,french
39,with
40,on
41,very
42,how
43,mary
44,as
45,she
46,has
47,will
48,go
49,when
50,people
51,been
52,it's
53,going
54,didn't
55,one
56,but
57,all
58,so
59,were
60,time
61,by
62,had
63,did
64,if
65,here
66,why
67,really
68,more
69,from
70,about
71,would
72,too
73,than
74,can't
75,said
76,or
77,no
78,who
79,help
80,some
81,them
82,school
83,tell
84,an
85,ever
86,many
87,their
88,work
89,isn't
90,now
91,please
92,just
93,that's
94,still
95,doesn't
96,used
97,out
98,keep
99,something
100,up
101,come
102,hard
103,us
104,old
105,much
106,sorry
107,him
108,good
109,get
110,you're
111,take
112,never
113,tom's
114,day
115,three
116,where
117,learn
118,could
119,need
120,any
121,only
122,should
123,home
124,most
125,world
126,stop
127,new
128,everyone
129,water
130,other
131,well
132,i've
133,way
134,speak
135,her
136,made
137,doing
138,thought
139,see
140,look
141,our
142,years
143,right
144,money
145,lonely
146,these
147,person
148,make
149,cat
150,use
151,lot
152,wanted
153,came
154,understand
155,may
156,say
157,long
158,man
159,into
160,car
161,give
162,often
163,two
164,boston
165,eat
166,room
167,favorite
168,back
169,knows
170,live
171,over
172,asked
173,i'll
174,find
175,believe
176,house
177,language
178,human
179,love
180,anything
181,feel
182,does
183,told
184,english
185,today
186,last
187,australia
188,every
189,left
190,read
191,then
192,alone
193,problem
194,nobody
195,what's
196,tomorrow
197,life
198,wants
199,first
200,better
201,before
202,because
203,late
204,leave
205,god
206,study
207,dog
208,we're
209,book
210,science
211,went
212,after
213,also
214,job
215,down
216,died
217,again
218,young
219,knew
220,quite
221,play
222,friends
223,yet
224,learning
225,got
226,lie
227,year
228,learned
229,yesterday
230,looks
231,same
232,children
233,should've
234,let's
235,stay
236,talk
237,wrong
238,beautiful
239,buy
240,everybody
241,cold
242,dream
243,teacher
244,working
245,wasn't
246,small
247,without
248,important
249,next
250,high
251,try
252,around
253,nothing
254,sleep
255,true
256,i'd
257,always
258,hope
259,women
260,computer
261,while
262,age
263,little
264,class
265,having
266,off
267,let
268,blood
269,red
270,someone
271,he's
272,took
273,meet
274,you'll
275,won't
276,later
277,books
278,wish
279,father
280,difficult
281,gave
282,we'll
283,food
284,couldn't
285,wearing
286,parents
287,answer
288,done
289,tried
290,anyone
291,am
292,bad
293,trying
294,fish
295,hate
296,mother
297,saw
298,soon
299,anymore
300,able
301,hours
302,watch
303,nice
304,called
305,busy
306,happy
307,easy
308,studying
309,met
310,being
311,married
312,both
313,enough
314,says
315,week
316,those
317,thing
318,students
319,birthday
320,few
321,words
322,each
323,things
324,wait
325,sit
326,felt
327,remember
328,drive
329,great
330,name
331,write
332,drink
333,moon
334,heard
335,medicine
336,must
337,seems
338,bed
339,night
340,woman
341,big
342,korea
343,question
