word,index
tom,1
to,2
i,3
the,4
a,5
you,6
is,7
in,8
that,9
of,10
and,11
was,12
do,13
it,14
this,15
have,16
are,17
he,18
be,19
my,20
i'm,21
for,22
me,23
don't,24
his,25
like,26
your,27
think,28
they,29
not,30
we,31
can,32
at,33
there,34
what,35
know,36
want,37
french,38
with,39
on,40
very,41
how,42
mary,43
as,44
she,45
has,46
will,47
go,48
when,49
people,50
been,51
it's,52
going,53
didn't,54
one,55
but,56
all,57
so,58
were,59
time,60
by,61
had,62
did,63
if,64
here,65
why,66
really,67
more,68
from,69
about,70
would,71
too,72
than,73
can't,74
said,75
or,76
no,77
who,78
help,79
some,80
them,81
school,82
tell,83
an,84
ever,85
many,86
their,87
work,88
isn't,89
now,90
please,91
just,92
that's,93
still,94
doesn't,95
used,96
out,97
keep,98
something,99
up,100
come,101
hard,102
us,103
old,104
much,105
sorry,106
him,107
good,108
get,109
you're,110
take,111
never,112
tom's,113
day,114
three,115
where,116
learn,117
could,118
need,119
any,120
only,121
should,122
home,123
most,124
world,125
stop,126
new,127
everyone,128
water,129
other,130
well,131
i've,132
way,133
speak,134
her,135
made,136
doing,137
thought,138
see,139
look,140
our,141
years,142
right,143
money,144
lonely,145
these,146
person,147
make,148
cat,149
use,150
lot,151
wanted,152
came,153
understand,154
may,155
say,156
long,157
man,158
into,159
car,160
give,161
often,162
two,163
boston,164
eat,165
room,166
favorite,167
back,168
knows,169
live,170
over,171
asked,172
i'll,173
find,174
believe,175
house,176
language,177
human,178
love,179
anything,180
feel,181
does,182
told,183
english,184
today,185
last,186
australia,187
every,188
left,189
read,190
then,191
alone,192
problem,193
nobody,194
what's,195
tomorrow,196
life,197
wants,198
first,199
better,200
before,201
because,202
late,203
leave,204
god,205
study,206
dog,207
we're,208
book,209
science,210
went,211
after,212
also,213
job,214
down,215
died,216
again,217
young,218
knew,219
quite,220
play,221
friends,222
yet,223
learning,224
got,225
lie,226
year,227
learned,228
yesterday,229
looks,230
same,231
children,232
should've,233
let's,234
stay,235
talk,236
wrong,237
beautiful,238
buy,239
everybody,240
cold,241
dream,242
teacher,243
working,244
wasn't,245
small,246
without,247
important,248
next,249
high,250
try,251
around,252
nothing,253
sleep,254
true,255
i'd,256
always,257
hope,258
women,259
computer,260
while,261
age,262
little,263
class,264
having,265
off,266
let,267
blood,268
red,269
someone,270
he's,271
took,272
meet,273
you'll,274
won't,275
later,276
books,277
wish,278
father,279
difficult,280
gave,281
we'll,282
food,283
couldn't,284
wearing,285
parents,286
answer,287
done,288
tried,289
anyone,290
am,291
bad,292
trying,293
fish,294
hate,295
mother,296
saw,297
soon,298
anymore,299
able,300
hours,301
watch,302
nice,303
called,304
busy,305
happy,306
easy,307
studying,308
met,309
being,310
married,311
both,312
enough,313
says,314
week,315
those,316
thing,317
students,318
birthday,319
few,320
words,321
each,322
things,323
wait,324
sit,325
felt,326
remember,327
drive,328
great,329
name,330
write,331
drink,332
moon,333
heard,334
medicine,335
must,336
seems,337
bed,338
night,339
woman,340
big,341
korea,342
question,343
sitting,344
there's,345
boy,346
ago,347
times,348
away,349
lost,350
works,351
turn,352
sing,353
hurt,354
yourself,355
inside,356
suicide,357
looking,358
cats,359
languages,360
dark,361
happened,362
even,363
idea,364
everything,365
longer,366
fact,367
child,368
sure,369
social,370
getting,371
friend,372
sometimes,373
party,374
country,375
put,376
morning,377
park,378
software,379
spend,380
such,381
mr,382
open,383
fun,384
forget,385
boys,386
walk,387
reading,388
answered,389
change,390
bought,391
aren't,392
subway,393
best,394
police,395
act,396
almost,397
taking,398
thinks,399
pretty,400
tonight,401
wouldn't,402
who's,403
haven't,404
afraid,405
animals,406
example,407
lived,408
become,409
which,410
through,411
swimming,412
show,413
start,414
die,415
mind,416
serious,417
talking,418
myself,419
dreams,420
might,421
horse,422
bank,423
kind,424
girl,425
dictionary,426
snow,427
eating,428
seen,429
swim,430
mary's,431
you've,432
men,433
christmas,434
found,435
five,436
means,437
six,438
lives,439
earth,440
however,441
listen,442
call,443
follow,444
ready,445
cried,446
ask,447
choose,448
looked,449
singing,450
flowers,451
hear,452
carefully,453
loves,454
full,455
bus,456
free,457
worked,458
borrow,459
killed,460
changed,461
spiders,462
shoes,463
born,464
interested,465
acting,466
phone,467
past,468
gone,469
baby,470
dangerous,471
early,472
cost,473
you'd,474
daughter,475
blue,476
ridiculous,477
body,478
family,479
living,480
assure,481
company,482
chance,483
point,484
since,485
under,486
speaking,487
place,488
different,489
pain,490
days,491
thanks,492
sad,493
lied,494
course,495
care,496
ok,497
quiet,498
cry,499
plants,500
anybody,501
addicted,502
horses,503
interesting,504
caught,505
boss,506
hair,507
safe,508
real,509
waiting,510
taught,511
addict,512
advice,513
rest,514
mean,515
boat,516
tired,517
others,518
wonder,519
its,520
word,521
canadian,522
eggs,523
began,524
allowed,525
dinner,526
four,527
brother,528
until,529
needs,530
apartment,531
watching,532
doctors,533
law,534
piano,535
speaker,536
less,537
homework,538
considered,539
summer,540
actually,541
cause,542
probably,543
sister,544
sports,545
john,546
during,547
information,548
tree,549
using,550
fire,551
won,552
perfect,553
hands,554
smiled,555
laughed,556
careful,557
wine,558
slowly,559
strange,560
mine,561
quickly,562
move,563
finished,564
green,565
stupid,566
mistake,567
manager,568
fast,569
eyes,570
music,571
save,572
bit,573
seemed,574
sleepy,575
win,576
we've,577
yours,578
expect,579
coming,580
main,581
worry,582
visit,583
surprised,584
playing,585
weather,586
shirt,587
decided,588
own,589
husband,590
started,591
reason,592
makes,593
breakfast,594
door,595
teach,596
likes,597
matter,598
several,599
clean,600
grandfather,601
accident,602
thirty,603
avoid,604
doctor,605
whether,606
minutes,607
studied,608
goes,609
history,610
large,611
usually,612
seoul,613
against,614
thinking,615
saying,616
city,617
office,618
traffic,619
star,620
percent,621
run,622
birds,623
hold,624
thank,625
carry,626
quick,627
forgive,628
once,629
curious,630
nervous,631
grow,632
crying,633
kissed,634
hot,635
driving,636
smoking,637
questions,638
winter,639
smell,640
depressed,641
black,642
number,643
changes,644
dead,645
poor,646
short,647
stopped,648
light,649
acted,650
either,651
tv,652
white,653
truth,654
already,655
hand,656
son,657
tennis,658
choice,659
guitar,660
popular,661
group,662
equals,663
catch,664
hat,665
prison,666
waste,667
sold,668
equal,669
prefer,670
umbrella,671
named,672
humans,673
meat,674
walking,675
television,676
rich,677
bigger,678
hospital,679
native,680
another,681
worth,682
whole,683
success,684
lunch,685
wife,686
likely,687
possible,688
floor,689
cannot,690
afternoon,691
player,692
teeth,693
vacation,694
except,695
between,696
earlier,697
parts,698
internet,699
especially,700
workers,701
countries,702
scientists,703
wash,704
welcome,705
grab,706
hurts,707
stand,708
quit,709
trust,710
fly,711
dogs,712
kill,713
check,714
tall,715
warm,716
lying,717
sick,718
faster,719
head,720
honest,721
peace,722
korean,723
voice,724
disappeared,725
bag,726
spider,727
plan,728
laugh,729
outside,730
game,731
unhappy,732
pass,733
health,734
monday,735
kid,736
helps,737
worried,738
where's,739
guess,740
normal,741
relaxing,742
single,743
case,744
2,745
30,746
weird,747
washing,748
addictive,749
song,750
africa,751
lose,752
helping,753
angry,754
maybe,755
window,756
hasn't,757
opened,758
color,759
hire,760
somewhere,761
kitchen,762
sat,763
injured,764
weight,765
rain,766
coat,767
spring,768
feelings,769
exactly,770
ideas,771
games,772
delicious,773
speaks,774
running,775
completely,776
pay,777
future,778
finally,779
diagnosed,780
station,781
singer,782
loved,783
crazy,784
india,785
acupuncture,786
test,787
glad,788
dress,789
gold,790
depression,791
sooner,792
letters,793
experience,794
simply,795
concentrating,796
mistakes,797
story,798
imagine,799
beings,800
drinks,801
sunday,802
airport,803
month,804
milk,805
alice,806
trouble,807
filled,808
famous,809
became,810
months,811
foreign,812
beach,813
river,814
set,815
soap,816
thousands,817
hearing,818
street,819
sound,820
world's,821
strong,822
jack,823
near,824
craze,825
themselves,826
mike,827
dioxin,828
jump,829
begin,830
oh,831
fair,832
goodbye,833
hit,834
shut,835
cool,836
cute,837
deep,838
luck,839
seriously,840
talked,841
wonderful,842
patient,843
bring,844
along,845
face,846
exists,847
how's,848
chuckled,849
envy,850
ignore,851
decide,852
finish,853
overslept,854
moving,855
escaped,856
survived,857
forward,858
exist,859
horrible,860
liars,861
refused,862
relaxed,863
autistic,864
miss,865
fighting,866
apples,867
autumn,868
stood,869
listening,870
melted,871
smart,872
scared,873
she's,874
lazy,875
sleeping,876
missed,877
kids,878
they're,879
warned,880
regret,881
proof,882
lucky,883
watched,884
movie,885
extremely,886
mad,887
2013,888
whose,889
cooking,890
keys,891
library,892
train,893
recognized,894
camera,895
close,896
abroad,897
unknown,898
attempted,899
marry,900
making,901
ran,902
ought,903
passport,904
suffer,905
travel,906
following,907
pictures,908
noise,909
seeing,910
plus,911
happening,912
signal,913
turned,914
fell,915
skills,916
yes,917
fired,918
business,919
media,920
hour,921
exciting,922
carried,923
responsibility,924
discount,925
mountain,926
passed,927
front,928
row,929
eaten,930
e,931
meeting,932
1,933
3,934
suffering,935
rabbits,936
begun,937
low,938
pressure,939
war,940
among,941
celebrate,942
perhaps,943
holiday,944
else,945
expensive,946
news,947
wear,948
noticed,949
battle,950
10,951
skiing,952
consists,953
far,954
engineer,955
viruses,956
field,957
presents,958
education,959
key,960
proud,961
bottle,962
spent,963
usual,964
till,965
final,966
united,967
bottom,968
necessary,969
fishing,970
giving,971
he'd,972
japan,973
south,974
teachers,975
self,976
present,977
dollars,978
brain,979
syndrome,980
autism,981
trip,982
end,983
difficulty,984
sell,985
graduate,986
traveling,987
control,988
order,989
gets,990
image,991
girls,992
convince,993
pulled,994
arrived,995
weren't,996
people's,997
tries,998
20,999
consider,1000
hundred,1001
cities,1002
cow,1003
smith,1004
diamond,1005
pig,1006
method,1007
asleep,1008
13,1009
5,1010
00,1011
according,1012
unlucky,1013
americans,1014
coca,1015
swift,1016
su,1017
lead,1018
c,1019
terrorism,1020
ads,1021
shows,1022
kinds,1023
juice,1024
13th,1025
meal,1026
special,1027
danger,1028
jane,1029
mi,1030
half,1031
hi,1032
hello,1033
relax,1034
shoot,1035
smile,1036
awesome,1037
wake,1038
ahead,1039
hurry,1040
calm,1041
fainted,1042
rained,1043
7,1044
waited,1045
definitely,1046
lovely,1047
ill,1048
aside,1049
danced,1050
failed,1051
helped,1052
shocked,1053
talks,1054
coughed,1055
giggled,1056
it'll,1057
dancing,1058
smiling,1059
listened,1060
engaged,1061
worrying,1062
screamed,1063
hesitated,1064
closely,1065
simple,1066
searching,1067
ice,1068
hates,1069
volunteered,1070
fascinating,1071
pencil,1072
experts,1073
flower,1074
liar,1075
champagne,1076
doubted,1077
seven,1078
kicked,1079
sent,1080
stole,1081
shy,1082
clock,1083
radio,1084
minute,1085
kept,1086
virus,1087
fault,1088
feet,1089
hired,1090
lawyer,1091
timid,1092
guy,1093
available,1094
older,1095
box,1096
hide,1097
funeral,1098
useful,1099
disappointed,1100
held,1101
message,1102
committed,1103
offer,1104
student,1105
rarely,1106
mom,1107
decision,1108
evil,1109
fat,1110
bedridden,1111
holding,1112
drug,1113
pen,1114
younger,1115
encouraged,1116
dropped,1117
coffee,1118
comes,1119
dreamed,1120
art,1121
melt,1122
terrible,1123
learns,1124
motivated,1125
windows,1126
invited,1127
killing,1128
store,1129
shouldn't've,1130
feeling,1131
reply,1132
press,1133
button,1134
sign,1135
sun,1136
whatever,1137
computers,1138
plays,1139
physics,1140
break,1141
cell,1142
drunk,1143
accept,1144
dreaming,1145
north,1146
deal,1147
thin,1148
secret,1149
given,1150
video,1151
bread,1152
forgotten,1153
joke,1154
brown,1155
professor,1156
heroin,1157
jeans,1158
team,1159
scissors,1160
nearby,1161
played,1162
tastes,1163
stars,1164
code,1165
exam,1166
ashamed,1167
suffers,1168
policeman,1169
wasted,1170
writing,1171
price,1172
evolution,1173
situation,1174
middle,1175
gray,1176
watering,1177
ate,1178
cut,1179
overweight,1180
october,1181
cookies,1182
everyone's,1183
faith,1184
unshaken,1185
hut,1186
maintained,1187
romantic,1188
supposed,1189
attention,1190
air,1191
problems,1192
seem,1193
actor,1194
baseball,1195
unfortunately,1196
pry,1197
private,1198
could've,1199
restaurant,1200
capital,1201
branch,1202
report,1203
he'll,1204
arguing,1205
join,1206
common,1207
public,1208
prior,1209
ball,1210
together,1211
fix,1212
moment,1213
sense,1214
destination,1215
road,1216
creatures,1217
letter,1218
ancient,1219
chinese,1220
flight,1221
beginning,1222
telling,1223
cheese,1224
behind,1225
returned,1226
london,1227
harder,1228
tend,1229
fight,1230
service,1231
respect,1232
refrigerator,1233
repeat,1234
reach,1235
death,1236
denied,1237
brothers,1238
000,1239
introduce,1240
difference,1241
certain,1242
convinced,1243
b,1244
prove,1245
stuck,1246
receive,1247
wolves,1248
comfortable,1249
intelligent,1250
sheep,1251
side,1252
american,1253
sisters,1254
within,1255
german,1256
smoke,1257
invention,1258
happen,1259
impossible,1260
religions,1261
upon,1262
meaning,1263
painting,1264
view,1265
ours,1266
bird,1267
lake,1268
finding,1269
alive,1270
ten,1271
known,1272
sea,1273
send,1274
area,1275
states,1276
clothes,1277
regulations,1278
mandate,1279
protective,1280
eyewear,1281
eight,1282
interest,1283
opportunity,1284
millions,1285
strings,1286
society,1287
minister,1288
oxford,1289
instead,1290
devil,1291
result,1292
bear,1293
grand,1294
classes,1295
discovered,1296
sky,1297
friday,1298
wolf,1299
fewer,1300
vitamin,1301
