word,index
.,1
하다,2
은,3
이,4
톰,5
을,6
있다,7
는,8
에,9
가,10
를,11
?,12
그,13
들,14
것,15
의,16
나,17
",",18
난,19
내,20
않다,21
사람,22
말,23
수,24
이다,25
없다,26
우리,27
에서,28
보다,29
야,30
네,31
너,32
적,33
로,34
같다,35
이야,36
되다,37
고,38
도,39
싶다,40
생각,41
에게,42
더,43
좋다,44
안,45
메리,46
으로,47
한테,48
가다,49
좋아하다,50
!,51
오다,52
프랑스어,53
걸,54
일,55
하고,56
다,57
알,58
과,59
때,60
그것,61
알다,62
거야,63
한,64
배우다,65
많다,66
들다,67
게,68
인,69
모르다,70
좀,71
어떻다,72
"""",73
자다,74
거,75
와,76
아니다,77
해,78
너무,79
날,80
못,81
주다,82
되어다,83
줄,84
여기,85
당신,86
라고,87
먹다,88
왜,89
모두,90
보이다,91
집,92
우린,93
그녀,94
가장,95
시간,96
에는,97
정말,98
이건,99
받다,100
돼다,101
아무,102
고양이,103
살,104
그걸,105
자기,106
아,107
공부,108
아주,109
저,110
자신,111
학교,112
책,113
거기,114
위해,115
건,116
전,117
시작,118
서,119
가지,120
누구,121
죽다,122
그렇게,123
중,124
계속,125
넌,126
다른,127
도와주다,128
사용,129
해주다,130
모든,131
읽다,132
대해,133
친구,134
법,135
미안하다,136
크다,137
꿈,138
거짓말,139
믿다,140
뭐,141
남자,142
돈,143
많이,144
아직도,145
처럼,146
사실,147
".""",148
앉다,149
말다,150
같이,151
몇,152
언어,153
타다,154
웃다,155
그렇다,156
얼마나,157
떠나다,158
그건,159
아이,160
개,161
인간,162
문제,163
물,164
이해,165
갈다,166
보내다,167
오늘,168
“,169
치다,170
쓰다,171
걸리다,172
이랑,173
때문,174
이상,175
보스턴,176
늘다,177
방법,178
기다리다,179
마,180
대답,181
지금,182
노래,183
원하다,184
제,185
뭔가,186
아직,187
만,188
선생님,189
이렇다,190
이제,191
찾다,192
동안,193
해보다,194
혼자,195
중독,196
자,197
어리다,198
어디,199
살다,200
랑,201
그리고,202
누가,203
새,204
두다,205
그만,206
무엇,207
내일,208
매우,209
진짜,210
거의,211
무슨,212
라는,213
바로,214
세,215
갖다,216
수영,217
그러나,218
과학,219
방,220
영어,221
그게,222
호주,223
눈,224
운전,225
번,226
하나,227
결혼,228
만들다,229
시키다,230
만나다,231
곳,232
컴퓨터,233
일어나다,234
어렵다,235
작다,236
언제,237
나이,238
명,239
필요,240
중요하다,241
대부분,242
