0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
2,4,12,10,1341,105,6,13,70,88,9,13,1301,256,179,37,11,13,135,10,5,958,9,5,2235,1952,19,85,11,13,1223,3,2
2,4,12,10,5,202,413,8,45,159,9,0,2202,28,10,5,50,1844,9,5,50,103,19,85,11,13,0,3,2,1,1,1,1
2,4,25,6,5,49,262,157,8,16,1960,766,27,1937,8,34,14,0,19,45,262,157,8,333,27,323,3,2,1,1,1,1,1
2,17,24,8,43,3547,9,6,172,8,38,100,0,9,6,231,8,166,2278,0,26,13,0,55,1123,3,2,1,1,1,1,1,1
2,17,29,51,26,23,6310,43,3891,9,97,5,3344,9,184,22,3109,34,104,991,40,63,98,139,51,3,2,1,1,1,1,1,1
2,72,56,449,8,13,402,47,4,12,6,5,45,39,8,14,4990,83,44,8,1928,1726,0,481,19,208,83,3,2,1,1,1,1
2,4,233,195,15,181,6,7,242,0,34,98,20,5,364,2941,11,13,161,30,9,53,9,351,97,133,0,3,2,1,1,1,1
2,4,1233,228,12,516,7,35,21,241,6,375,882,9,10,523,8,16,63,7,15,6,5,0,127,139,51,3,2,1,1,1,1
2,7,33,58,13,2051,10,462,40,8,1026,4,12,6,5,152,209,9,191,8,14,138,80,3107,206,36,3,2,1,1,1,1,1
2,4,0,0,6,265,4872,477,709,10,196,284,279,27,8,16,19,85,52,9,11,32,3845,346,3,2,1,1,1,1,1,1,1
2,4,3594,11,7,0,10,5,12,6,13,70,482,9,50,1216,8,14,6,14,435,150,2076,28,3,2,1,1,1,1,1,1,1
2,17,2337,8,13,6,3401,0,9,14,100,6,554,9,862,8,6679,22,4,140,26,5,7631,85,3,2,1,1,1,1,1,1,1
2,7,0,9,17,64,166,26,171,2461,6133,165,32,431,10,13,0,27,5573,9,18,223,27,692,3,2,1,1,1,1,1,1,1
2,17,2621,6,265,2014,8,13,21,204,47,99,5,396,6,14,89,8,14,100,145,11,131,258,153,3,2,1,1,1,1,1,1
2,7,15,6,5,0,209,28,26,13,0,0,9,67,7,1392,6,373,13,15,6,5,839,209,3,2,1,1,1,1,1,1,1
2,4,1782,12,47,343,21,4168,50,1932,9,5872,1183,9,1802,22,41,7,0,6836,11,5,424,1961,55,3,2,1,1,1,1,1,1
2,53,52,11,13,161,11,5,382,6,14,151,34,6,14,109,0,1096,165,7,2153,9,4,6725,51,3,2,1,1,1,1,1,1
2,4,12,6,13,50,482,266,84,7,15,6,13,50,88,19,87,6,13,2366,74,10,3685,27,3,2,1,1,1,1,1,1,1
2,643,268,10,23,45,200,2715,6,5,1522,275,17,986,336,54,0,9,47,336,10,23,621,2108,3,2,1,1,1,1,1,1,1
2,7,15,6,159,82,26,5,352,116,8,11,23,7,1160,7,15,180,8,16,41,32,850,295,191,145,3,2,1,1,1,1,1
2,4,95,12,8,14,10,5,2235,79,12,816,47,8,145,22,99,42,24,63,8,20,353,98,336,0,83,3,2,1,1,1,1
2,29,8,16,668,56,8,600,4,12,32,91,481,2033,8,34,138,362,6436,1402,6,14,89,83,3,2,1,1,1,1,1,1,1
2,42,64,6,0,4236,4184,1346,56,714,11,5,0,34,4,2449,268,9,4,492,19,85,51,3,2,1,1,1,1,1,1,1,1
2,17,1517,44,136,11,5,1347,11,13,545,33,8,16,22,3109,6,5,0,10,0,219,3,2,1,1,1,1,1,1,1,1,1
2,4,328,1419,157,18,12,58,5,813,11,16,0,27,553,34,4,0,0,8,63,27,1007,3,2,1,1,1,1,1,1,1,1
2,17,4985,8,43,270,9,38,100,233,8,136,437,11,13,777,34,75,40,452,3,2,1,1,1,1,1,1,1,1,1,1,1
