0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
2,7,25,15,9,7,173,15,6,1761,4028,7331,0,8,34,42,991,40,6,6792,96,811,21,14,7460,3562,11,23,208,27,143,83,3,2,1
2,4,24,30,6,0,1710,20,5,478,1071,9,183,4,285,8,38,98,10,295,80,2126,36,8,20,14,22,4,1650,10,5,2996,219,3,2
2,4,6755,6,13,611,14,411,0,235,0,800,10,14,1072,80,4,0,8,34,144,6,14,914,80,16,848,36,3,2,1,1,1,1,1
2,17,53,8,21,353,14,7,165,7,4907,357,47,9,14,100,4,0,60,8,140,58,5,3081,6,5,2075,972,20,417,116,3,2,1,1
2,4,653,12,6,50,218,9,5,1084,70,413,67,10,76,185,18,0,11,13,0,8,16,21,77,629,9,1485,343,47,3,2,1,1,1
2,17,0,52,6,0,0,11,704,8,600,1831,18,0,6,14,1072,80,9,16,7826,150,3976,6,14,914,80,36,3,2,1,1,1,1,1
2,17,53,186,18,77,0,0,10,5,0,21,0,0,639,0,9,230,7745,854,8,160,2238,4,48,41,16,0,260,3,2,1,1,1,1
2,7,15,183,7,1630,9,30,146,11,14,1834,43,5098,8,34,7,100,15,10,5,0,6,14,80,46,133,28,3,2,1,1,1,1,1
2,7,15,6,5,236,209,8,16,7,3510,55,1603,0,911,6,5,45,0,36,8,68,84,18,5047,6,16,89,3,2,1,1,1,1,1
2,7,15,10,191,9,5,45,119,8,16,4888,320,8,181,18,627,12,10,5,70,119,9,13,284,20,3,2,1,1,1,1,1,1,1
2,7,1131,15,10,13,45,255,9,191,36,4,0,8,34,4,176,24,10,0,259,11,38,0,568,3,2,1,1,1,1,1,1,1,1
2,4,12,6,5,0,50,39,145,14,15,6,16,453,8,34,144,98,54,316,1141,0,0,36,3,2,1,1,1,1,1,1,1,1,1
2,4,12,6,5,45,39,36,4,274,8,11,23,28,1161,207,0,0,0,0,0,0,0,0,3,232,2,1,1,1,1,1,1,1,1
2,17,29,8,21,353,14,7,172,9,14,100,231,47,8,51,19,87,8,56,128,9,622,6,4,222,3,2,1,1,1,1,1,1,1
2,4,451,10,5,746,81,2144,538,18,1465,8,34,144,27,5,3494,275,4,115,351,9,5,86,145,3,2,1,1,1,1,1,1,1,1
2,4,12,10,13,0,8,14,2900,1445,92,8,59,46,5,93,12,8,14,27,5,937,0,47,3,2,1,1,1,1,1,1,1,1,1
2,4,25,9,4,24,6,70,1997,51,5,24,6,13,647,88,699,8,34,22,19,85,329,304,3,2,1,1,1,1,1,1,1,1,1
2,4,115,297,8,6,7187,107,998,0,8,98,927,235,878,7,188,9,16,188,47,1402,2164,3,2,1,1,1,1,1,1,1,1,1,1
2,38,208,180,0,9,351,11,5,619,9,18,233,584,12,8,14,20,14,1891,752,351,286,3,2,1,1,1,1,1,1,1,1,1,1
2,7,15,9,4,48,52,132,6,5,0,20,5,202,141,8,34,4,12,9,17,44,1083,3,2,1,1,1,1,1,1,1,1,1,1
2,4,129,12,30,19,87,26,5,77,1785,10,14,513,207,0,0,0,0,232,11,13,161,3,2,1,1,1,1,1,1,1,1,1,1
2,4,12,6,5,202,119,0,32,0,8,63,4,583,19,0,13,6393,6,1281,27,1128,3,2,1,1,1,1,1,1,1,1,1,1,1
2,7,15,6,576,10,5,632,9,4,12,10,205,39,9,299,73,57,4,0,0,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2,4,65,24,383,3103,30,6,5,70,574,9,237,10,5,2266,301,19,206,4,0,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2,7,66,6,5,49,0,155,11,226,0,539,11,13,421,26,5,6633,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,226,65,48,10,1091,11,1474,9,206,30,6,14,4112,9,37,10,14,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1045,51,11,32,764,484,43,77,0,6,5,245,8,732,3086,10,2296,55,14,0,801,83,3,2,1,1,1,1,1,1,1,1,1,1
2,4,875,95,12,59,6,14,109,150,4126,116,9,60,146,7,1124,8,4,557,119,9,159,3,2,1,1,1,1,1,1,1,1,1,1
2,4,12,6,5,101,78,8,14,26,13,111,0,28,8,47,21,277,57,4,0,27,143,3,2,1,1,1,1,1,1,1,1,1,1
2,4,245,859,10,1047,9,1154,551,9,244,8,6,23,1053,3367,9,242,1241,21,14,407,912,3,2,1,1,1,1,1,1,1,1,1,1
2,4,12,19,411,271,541,54,2149,43,1182,0,8,14,11,5,0,30,8,18,0,20,3,2,1,1,1,1,1,1,1,1,1,1,1
2,4,434,10,5,49,200,9,50,197,107,303,1701,10,23,671,886,8,34,144,321,0,82,3,2,1,1,1,1,1,1,1,1,1,1
2,6,13,0,263,167,8,0,5029,21,5,12,11,13,0,4621,8,34,4,243,12,433,3,2,1,1,1,1,1,1,1,1,1,1,1
2,4,15,6,13,330,255,180,5,12,6,5,256,249,8,165,7,6290,55,2836,6341,107,3,2,1,1,1,1,1,1,1,1,1,1,1
2,4,12,10,0,37,10,23,259,13,15,8,16,6,13,0,33,11,5,267,30,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2,7,1517,15,30,20,5,152,106,9,60,4,4830,127,8,3367,750,9,7,242,191,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2,2416,10,13,490,15,6,0,209,9,6780,26,5,0,8,38,21,457,27,143,47,3,2,1,1,1,1,1,1,1,1,1,1,1,1
